input log file location, qnn_custom_ops/17_qwen_flash_attention_hvx/device_output/past128_head_contiguous_reg_av/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
12739004836,INIT,455826,US,NETRUN,ROOT,null
12739129008,COMPOSE GRAPHS,123003,US,NETRUN,ROOT,null
12739457280,FINALIZE,327367,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention_head_contiguous
12739457280,FINALIZE,7838,US,BACKEND,ROOT,RPC (finalize) time
12739457280,FINALIZE,5648,US,BACKEND,ROOT,QNN accelerator (finalize) time
12739457280,FINALIZE,5500,US,BACKEND,ROOT,Accelerator (finalize) time
12739457280,FINALIZE,327313,US,BACKEND,ROOT,QNN (finalize) time
12739457280,FINALIZE,229,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
12739457280,FINALIZE,247990,US,BACKEND,SUB-EVENT,Graph Optimizations
12739457280,FINALIZE,2647,US,BACKEND,SUB-EVENT,Post Graph Optimization
12739457280,FINALIZE,15938,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
12739457280,FINALIZE,1994,US,BACKEND,SUB-EVENT,VTCM Allocation
12739457280,FINALIZE,1199,US,BACKEND,SUB-EVENT,Parallelization Optimization
12739457280,FINALIZE,1554,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
12739457280,FINALIZE,72,US,BACKEND,SUB-EVENT,Completion
12739640215,DE-INIT,45253,US,NETRUN,ROOT,null
12739640215,DE-INIT,10248,US,BACKEND,ROOT,RPC (deinit) time
12739640215,DE-INIT,7542,US,BACKEND,ROOT,QNN Accelerator (deinit) time
12739640215,DE-INIT,7386,US,BACKEND,ROOT,Accelerator (deinit) time
12739640215,DE-INIT,45238,US,BACKEND,ROOT,QNN (deinit) time
12739478427,EXECUTE,20553,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention_head_contiguous
12739478427,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
12739478427,EXECUTE,20218,US,BACKEND,ROOT,RPC (execute) time
12739478427,EXECUTE,18328,US,BACKEND,ROOT,QNN accelerator (execute) time
12739478427,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
12739478427,EXECUTE,771,US,BACKEND,ROOT,Time for initial VTCM acquire
12739478427,EXECUTE,35080,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
12739478427,EXECUTE,1659341,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
12739478427,EXECUTE,10998,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
12739478427,EXECUTE,4461,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
12739478427,EXECUTE,23225,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
12739478427,EXECUTE,9161,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
12739478427,EXECUTE,44881,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
12739478427,EXECUTE,3269,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
12739478427,EXECUTE,4043,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
12739478427,EXECUTE,1531,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
12739478427,EXECUTE,1338,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
12739478427,EXECUTE,448,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
12739478427,EXECUTE,2710,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
12739478427,EXECUTE,2379,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
12739478427,EXECUTE,26977,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_49 (cycles)
12739478427,EXECUTE,6611,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_55 (cycles)
12739478427,EXECUTE,1549,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_61 (cycles)
12739478427,EXECUTE,1375,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_64 (cycles)
12739478427,EXECUTE,246,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_66 (cycles)
12739478427,EXECUTE,1681,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_68 (cycles)
12739478427,EXECUTE,1599,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_70 (cycles)
12739478427,EXECUTE,1955,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_72 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_74 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_75 (cycles)
12739478427,EXECUTE,784,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_76 (cycles)
12739478427,EXECUTE,2759,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_78 (cycles)
12739478427,EXECUTE,25374,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_80 (cycles)
12739478427,EXECUTE,5193,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_86 (cycles)
12739478427,EXECUTE,4553,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_91 (cycles)
12739478427,EXECUTE,1272,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_93 (cycles)
12739478427,EXECUTE,532,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_95 (cycles)
12739478427,EXECUTE,4500,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_97 (cycles)
12739478427,EXECUTE,1178,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_99 (cycles)
12739478427,EXECUTE,856,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_101 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_2:OpId_103 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_3:OpId_104 (cycles)
12739478427,EXECUTE,1696,CYCLES,BACKEND,SUB-EVENT,_Concat_2:OpId_105 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_107 (cycles)
12739478427,EXECUTE,16820,CYCLES,BACKEND,SUB-EVENT,_Concat_4:OpId_108 (cycles)
12739478427,EXECUTE,16900,CYCLES,BACKEND,SUB-EVENT,_Concat_5:OpId_110 (cycles)
12739478427,EXECUTE,855918,CYCLES,BACKEND,SUB-EVENT,_QwenGqaFlashAttention:OpId_112 (cycles)
12739478427,EXECUTE,4962,CYCLES,BACKEND,SUB-EVENT,_Transpose_4:OpId_114 (cycles)
12739478427,EXECUTE,12322,CYCLES,BACKEND,SUB-EVENT,_MatMul_5:OpId_116 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_post_reshape:OpId_119 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_output_0_nfc:OpId_121 (cycles)
12739478427,EXECUTE,72597,CYCLES,BACKEND,SUB-EVENT,_Add_7:OpId_123 (cycles)
12739478427,EXECUTE,228,CYCLES,BACKEND,SUB-EVENT,_Add_7_output_0_ncf:OpId_126 (cycles)
12739478427,EXECUTE,1986,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_11_output_0:OpId_131 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6:OpId_135 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6_post_reshape:OpId_138 (cycles)
12739478427,EXECUTE,156973,CYCLES,BACKEND,SUB-EVENT,_MatMul_7:OpId_140 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_7_post_reshape:OpId_143 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Sigmoid:OpId_144 (cycles)
12739478427,EXECUTE,126330,CYCLES,BACKEND,SUB-EVENT,_Mul_12:OpId_151 (cycles)
12739478427,EXECUTE,18626,CYCLES,BACKEND,SUB-EVENT,_Mul_13:OpId_153 (cycles)
12739478427,EXECUTE,156296,CYCLES,BACKEND,SUB-EVENT,_MatMul_8:OpId_156 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_8_post_reshape:OpId_159 (cycles)
12739478427,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_8_output_0_nfc:OpId_161 (cycles)
12739478427,EXECUTE,14883,CYCLES,BACKEND,SUB-EVENT,_Add_9:OpId_163 (cycles)
12739478427,EXECUTE,5366,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
12739478427,EXECUTE,4149,US,BACKEND,ROOT,Accelerator (execute) time
12739478427,EXECUTE,2208,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
12739478427,EXECUTE,20527,US,BACKEND,ROOT,QNN (execute) time
12739488435,EXECUTE,7995,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention_head_contiguous
12739488435,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
12739488435,EXECUTE,7630,US,BACKEND,ROOT,RPC (execute) time
12739488435,EXECUTE,6636,US,BACKEND,ROOT,QNN accelerator (execute) time
12739488435,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
12739488435,EXECUTE,649,US,BACKEND,ROOT,Time for initial VTCM acquire
12739488435,EXECUTE,273,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
12739488435,EXECUTE,1693135,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
12739488435,EXECUTE,25877,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
12739488435,EXECUTE,12673,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
12739488435,EXECUTE,39792,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
12739488435,EXECUTE,9051,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
12739488435,EXECUTE,40192,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
12739488435,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
12739488435,EXECUTE,5525,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
12739488435,EXECUTE,13434,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
