input log file location, qnn_custom_ops/17_qwen_flash_attention_hvx/device_output/past128_hvx_av/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
11913445686,INIT,424772,US,NETRUN,ROOT,null
11913540404,COMPOSE GRAPHS,93426,US,NETRUN,ROOT,null
11913866088,FINALIZE,325239,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention
11913866088,FINALIZE,6724,US,BACKEND,ROOT,RPC (finalize) time
11913866088,FINALIZE,4875,US,BACKEND,ROOT,QNN accelerator (finalize) time
11913866088,FINALIZE,4755,US,BACKEND,ROOT,Accelerator (finalize) time
11913866088,FINALIZE,325189,US,BACKEND,ROOT,QNN (finalize) time
11913866088,FINALIZE,171,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
11913866088,FINALIZE,246097,US,BACKEND,SUB-EVENT,Graph Optimizations
11913866088,FINALIZE,2743,US,BACKEND,SUB-EVENT,Post Graph Optimization
11913866088,FINALIZE,15325,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
11913866088,FINALIZE,1947,US,BACKEND,SUB-EVENT,VTCM Allocation
11913866088,FINALIZE,1229,US,BACKEND,SUB-EVENT,Parallelization Optimization
11913866088,FINALIZE,1552,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
11913866088,FINALIZE,75,US,BACKEND,SUB-EVENT,Completion
11914134621,DE-INIT,45611,US,NETRUN,ROOT,null
11914134621,DE-INIT,10168,US,BACKEND,ROOT,RPC (deinit) time
11914134621,DE-INIT,7546,US,BACKEND,ROOT,QNN Accelerator (deinit) time
11914134621,DE-INIT,7398,US,BACKEND,ROOT,Accelerator (deinit) time
11914134621,DE-INIT,45597,US,BACKEND,ROOT,QNN (deinit) time
11913894531,EXECUTE,27852,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention
11913894531,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
11913894531,EXECUTE,27527,US,BACKEND,ROOT,RPC (execute) time
11913894531,EXECUTE,25951,US,BACKEND,ROOT,QNN accelerator (execute) time
11913894531,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
11913894531,EXECUTE,768,US,BACKEND,ROOT,Time for initial VTCM acquire
11913894531,EXECUTE,34601,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
11913894531,EXECUTE,12025074,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
11913894531,EXECUTE,12188,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
11913894531,EXECUTE,4201,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
