input log file location, qnn_custom_ops/matmul_qhpi_hvx_8row_fp32_store_multithread/device_output_tile_cache/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
2741681352,INIT,68070,US,NETRUN,ROOT,null
2741731929,COMPOSE GRAPHS,49809,US,NETRUN,ROOT,null
2741746845,FINALIZE,14562,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741746845,FINALIZE,2736,US,BACKEND,ROOT,RPC (finalize) time
2741746845,FINALIZE,2319,US,BACKEND,ROOT,QNN accelerator (finalize) time
2741746845,FINALIZE,2183,US,BACKEND,ROOT,Accelerator (finalize) time
2741746845,FINALIZE,14534,US,BACKEND,ROOT,QNN (finalize) time
2741746845,FINALIZE,320,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
2741746845,FINALIZE,3200,US,BACKEND,SUB-EVENT,Graph Optimizations
2741746845,FINALIZE,333,US,BACKEND,SUB-EVENT,Post Graph Optimization
2741746845,FINALIZE,1960,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
2741746845,FINALIZE,142,US,BACKEND,SUB-EVENT,VTCM Allocation
2741746845,FINALIZE,25,US,BACKEND,SUB-EVENT,Parallelization Optimization
2741746845,FINALIZE,124,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
2741746845,FINALIZE,13,US,BACKEND,SUB-EVENT,Completion
2742041960,DE-INIT,27082,US,NETRUN,ROOT,null
2742041960,DE-INIT,5644,US,BACKEND,ROOT,RPC (deinit) time
2742041960,DE-INIT,4298,US,BACKEND,ROOT,QNN Accelerator (deinit) time
2742041960,DE-INIT,4177,US,BACKEND,ROOT,Accelerator (deinit) time
2742041960,DE-INIT,27021,US,BACKEND,ROOT,QNN (deinit) time
2741755802,EXECUTE,6431,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741755802,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741755802,EXECUTE,6169,US,BACKEND,ROOT,RPC (execute) time
2741755802,EXECUTE,5393,US,BACKEND,ROOT,QNN accelerator (execute) time
2741755802,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741755802,EXECUTE,3046,US,BACKEND,ROOT,Time for initial VTCM acquire
2741755802,EXECUTE,47011,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741755802,EXECUTE,774319,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741755802,EXECUTE,8822,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741755802,EXECUTE,10918,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741755802,EXECUTE,13038,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2741755802,EXECUTE,736980,CYCLES,BACKEND,SUB-EVENT,MatMulQhpiHvx8RowFp32StoreMultithread_0:OpId_18 (cycles)
2741755802,EXECUTE,4561,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2741755802,EXECUTE,4821,US,BACKEND,ROOT,Accelerator (execute) time
2741755802,EXECUTE,1084,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2741755802,EXECUTE,6360,US,BACKEND,ROOT,QNN (execute) time
2741764807,EXECUTE,4549,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741764807,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741764807,EXECUTE,4194,US,BACKEND,ROOT,RPC (execute) time
2741764807,EXECUTE,3204,US,BACKEND,ROOT,QNN accelerator (execute) time
2741764807,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741764807,EXECUTE,7151,US,BACKEND,ROOT,Time for initial VTCM acquire
2741764807,EXECUTE,4773,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741764807,EXECUTE,747048,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741764807,EXECUTE,7516,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741764807,EXECUTE,7670,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741764807,EXECUTE,12954,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2741764807,EXECUTE,714853,CYCLES,BACKEND,SUB-EVENT,MatMulQhpiHvx8RowFp32StoreMultithread_0:OpId_18 (cycles)
2741764807,EXECUTE,4055,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2741764807,EXECUTE,2867,US,BACKEND,ROOT,Accelerator (execute) time
2741764807,EXECUTE,1051,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2741764807,EXECUTE,4429,US,BACKEND,ROOT,QNN (execute) time
2741774054,EXECUTE,4400,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741774054,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741774054,EXECUTE,4064,US,BACKEND,ROOT,RPC (execute) time
2741774054,EXECUTE,3160,US,BACKEND,ROOT,QNN accelerator (execute) time
2741774054,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741774054,EXECUTE,7241,US,BACKEND,ROOT,Time for initial VTCM acquire
2741774054,EXECUTE,4761,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741774054,EXECUTE,728846,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741774054,EXECUTE,7629,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741774054,EXECUTE,6843,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741774054,EXECUTE,12722,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2741774054,EXECUTE,698134,CYCLES,BACKEND,SUB-EVENT,MatMulQhpiHvx8RowFp32StoreMultithread_0:OpId_18 (cycles)
2741774054,EXECUTE,3518,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2741774054,EXECUTE,2840,US,BACKEND,ROOT,Accelerator (execute) time
2741774054,EXECUTE,1045,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2741774054,EXECUTE,4273,US,BACKEND,ROOT,QNN (execute) time
2741784942,EXECUTE,4401,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741784942,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741784942,EXECUTE,4044,US,BACKEND,ROOT,RPC (execute) time
2741784942,EXECUTE,3141,US,BACKEND,ROOT,QNN accelerator (execute) time
2741784942,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741784942,EXECUTE,6948,US,BACKEND,ROOT,Time for initial VTCM acquire
2741784942,EXECUTE,4721,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741784942,EXECUTE,742958,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741784942,EXECUTE,7214,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741784942,EXECUTE,6872,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741784942,EXECUTE,12712,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2741784942,EXECUTE,712769,CYCLES,BACKEND,SUB-EVENT,MatMulQhpiHvx8RowFp32StoreMultithread_0:OpId_18 (cycles)
2741784942,EXECUTE,3391,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2741784942,EXECUTE,2817,US,BACKEND,ROOT,Accelerator (execute) time
2741784942,EXECUTE,1049,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2741784942,EXECUTE,4262,US,BACKEND,ROOT,QNN (execute) time
2741798057,EXECUTE,4459,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741798057,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741798057,EXECUTE,4079,US,BACKEND,ROOT,RPC (execute) time
2741798057,EXECUTE,3105,US,BACKEND,ROOT,QNN accelerator (execute) time
2741798057,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741798057,EXECUTE,7077,US,BACKEND,ROOT,Time for initial VTCM acquire
2741798057,EXECUTE,4665,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741798057,EXECUTE,739261,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741798057,EXECUTE,7244,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741798057,EXECUTE,6869,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741798057,EXECUTE,12997,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2741798057,EXECUTE,708918,CYCLES,BACKEND,SUB-EVENT,MatMulQhpiHvx8RowFp32StoreMultithread_0:OpId_18 (cycles)
2741798057,EXECUTE,3233,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2741798057,EXECUTE,2785,US,BACKEND,ROOT,Accelerator (execute) time
2741798057,EXECUTE,1031,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2741798057,EXECUTE,4324,US,BACKEND,ROOT,QNN (execute) time
2741811341,EXECUTE,4541,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741811341,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741811341,EXECUTE,4075,US,BACKEND,ROOT,RPC (execute) time
2741811341,EXECUTE,3145,US,BACKEND,ROOT,QNN accelerator (execute) time
2741811341,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741811341,EXECUTE,7250,US,BACKEND,ROOT,Time for initial VTCM acquire
2741811341,EXECUTE,4609,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741811341,EXECUTE,735614,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741811341,EXECUTE,7987,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741811341,EXECUTE,6846,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741811341,EXECUTE,12695,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2741811341,EXECUTE,704827,CYCLES,BACKEND,SUB-EVENT,MatMulQhpiHvx8RowFp32StoreMultithread_0:OpId_18 (cycles)
2741811341,EXECUTE,3259,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2741811341,EXECUTE,2816,US,BACKEND,ROOT,Accelerator (execute) time
2741811341,EXECUTE,1042,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2741811341,EXECUTE,4355,US,BACKEND,ROOT,QNN (execute) time
2741825106,EXECUTE,4558,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741825106,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741825106,EXECUTE,4316,US,BACKEND,ROOT,RPC (execute) time
2741825106,EXECUTE,3224,US,BACKEND,ROOT,QNN accelerator (execute) time
2741825106,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741825106,EXECUTE,6944,US,BACKEND,ROOT,Time for initial VTCM acquire
2741825106,EXECUTE,4814,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741825106,EXECUTE,771002,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741825106,EXECUTE,18068,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741825106,EXECUTE,6825,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741825106,EXECUTE,12306,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2741825106,EXECUTE,727854,CYCLES,BACKEND,SUB-EVENT,MatMulQhpiHvx8RowFp32StoreMultithread_0:OpId_18 (cycles)
2741825106,EXECUTE,5949,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2741825106,EXECUTE,2877,US,BACKEND,ROOT,Accelerator (execute) time
2741825106,EXECUTE,1107,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2741825106,EXECUTE,4517,US,BACKEND,ROOT,QNN (execute) time
2741838667,EXECUTE,4761,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741838667,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741838667,EXECUTE,4381,US,BACKEND,ROOT,RPC (execute) time
2741838667,EXECUTE,3226,US,BACKEND,ROOT,QNN accelerator (execute) time
2741838667,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741838667,EXECUTE,7481,US,BACKEND,ROOT,Time for initial VTCM acquire
2741838667,EXECUTE,4636,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741838667,EXECUTE,750919,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741838667,EXECUTE,18234,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741838667,EXECUTE,6842,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741838667,EXECUTE,12309,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2741838667,EXECUTE,707406,CYCLES,BACKEND,SUB-EVENT,MatMulQhpiHvx8RowFp32StoreMultithread_0:OpId_18 (cycles)
2741838667,EXECUTE,6128,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2741838667,EXECUTE,2893,US,BACKEND,ROOT,Accelerator (execute) time
2741838667,EXECUTE,1094,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2741838667,EXECUTE,4685,US,BACKEND,ROOT,QNN (execute) time
2741855820,EXECUTE,4306,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2741855820,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2741855820,EXECUTE,4009,US,BACKEND,ROOT,RPC (execute) time
2741855820,EXECUTE,3115,US,BACKEND,ROOT,QNN accelerator (execute) time
2741855820,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2741855820,EXECUTE,7149,US,BACKEND,ROOT,Time for initial VTCM acquire
2741855820,EXECUTE,4638,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2741855820,EXECUTE,728311,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2741855820,EXECUTE,7299,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2741855820,EXECUTE,7287,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2741855820,EXECUTE,12713,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
