input log file location, qnn_custom_ops/matmul_qnn_builtin/device_output_profile/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
2806002871,INIT,160904,US,NETRUN,ROOT,null
2806149928,COMPOSE GRAPHS,145405,US,NETRUN,ROOT,null
2806165613,FINALIZE,15399,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2806165613,FINALIZE,3342,US,BACKEND,ROOT,RPC (finalize) time
2806165613,FINALIZE,2912,US,BACKEND,ROOT,QNN accelerator (finalize) time
2806165613,FINALIZE,2778,US,BACKEND,ROOT,Accelerator (finalize) time
2806165613,FINALIZE,15371,US,BACKEND,ROOT,QNN (finalize) time
2806165613,FINALIZE,194,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
2806165613,FINALIZE,2769,US,BACKEND,SUB-EVENT,Graph Optimizations
2806165613,FINALIZE,361,US,BACKEND,SUB-EVENT,Post Graph Optimization
2806165613,FINALIZE,2278,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
2806165613,FINALIZE,131,US,BACKEND,SUB-EVENT,VTCM Allocation
2806165613,FINALIZE,35,US,BACKEND,SUB-EVENT,Parallelization Optimization
2806165613,FINALIZE,155,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
2806165613,FINALIZE,18,US,BACKEND,SUB-EVENT,Completion
2806449575,DE-INIT,26668,US,NETRUN,ROOT,null
2806449575,DE-INIT,5584,US,BACKEND,ROOT,RPC (deinit) time
2806449575,DE-INIT,4311,US,BACKEND,ROOT,QNN Accelerator (deinit) time
2806449575,DE-INIT,4196,US,BACKEND,ROOT,Accelerator (deinit) time
2806449575,DE-INIT,26629,US,BACKEND,ROOT,QNN (deinit) time
2806173874,EXECUTE,5615,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2806173874,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2806173874,EXECUTE,5372,US,BACKEND,ROOT,RPC (execute) time
2806173874,EXECUTE,4685,US,BACKEND,ROOT,QNN accelerator (execute) time
2806173874,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2806173874,EXECUTE,2962,US,BACKEND,ROOT,Time for initial VTCM acquire
2806173874,EXECUTE,41257,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2806173874,EXECUTE,105951,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2806173874,EXECUTE,7335,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2806173874,EXECUTE,10999,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2806173874,EXECUTE,13075,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2806173874,EXECUTE,27361,CYCLES,BACKEND,SUB-EVENT,QnnBuiltinMatMul_0:OpId_18 (cycles)
2806173874,EXECUTE,25868,CYCLES,BACKEND,SUB-EVENT,CastOutputToFp32_0:OpId_22 (cycles)
2806173874,EXECUTE,21313,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2806173874,EXECUTE,4029,US,BACKEND,ROOT,Accelerator (execute) time
2806173874,EXECUTE,609,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2806173874,EXECUTE,5524,US,BACKEND,ROOT,QNN (execute) time
2806180606,EXECUTE,3744,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2806180606,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2806180606,EXECUTE,3550,US,BACKEND,ROOT,RPC (execute) time
2806180606,EXECUTE,2673,US,BACKEND,ROOT,QNN accelerator (execute) time
2806180606,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2806180606,EXECUTE,6909,US,BACKEND,ROOT,Time for initial VTCM acquire
2806180606,EXECUTE,4656,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2806180606,EXECUTE,71564,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2806180606,EXECUTE,6887,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2806180606,EXECUTE,7222,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2806180606,EXECUTE,13005,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2806180606,EXECUTE,23144,CYCLES,BACKEND,SUB-EVENT,QnnBuiltinMatMul_0:OpId_18 (cycles)
2806180606,EXECUTE,8723,CYCLES,BACKEND,SUB-EVENT,CastOutputToFp32_0:OpId_22 (cycles)
2806180606,EXECUTE,12583,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2806180606,EXECUTE,2301,US,BACKEND,ROOT,Accelerator (execute) time
2806180606,EXECUTE,557,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2806180606,EXECUTE,3687,US,BACKEND,ROOT,QNN (execute) time
2806187038,EXECUTE,3722,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2806187038,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2806187038,EXECUTE,3520,US,BACKEND,ROOT,RPC (execute) time
2806187038,EXECUTE,2672,US,BACKEND,ROOT,QNN accelerator (execute) time
2806187038,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2806187038,EXECUTE,6963,US,BACKEND,ROOT,Time for initial VTCM acquire
2806187038,EXECUTE,4600,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2806187038,EXECUTE,70203,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2806187038,EXECUTE,7400,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2806187038,EXECUTE,7453,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2806187038,EXECUTE,12686,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2806187038,EXECUTE,23647,CYCLES,BACKEND,SUB-EVENT,QnnBuiltinMatMul_0:OpId_18 (cycles)
2806187038,EXECUTE,6177,CYCLES,BACKEND,SUB-EVENT,CastOutputToFp32_0:OpId_22 (cycles)
2806187038,EXECUTE,12840,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2806187038,EXECUTE,2315,US,BACKEND,ROOT,Accelerator (execute) time
2806187038,EXECUTE,585,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2806187038,EXECUTE,3655,US,BACKEND,ROOT,QNN (execute) time
2806195847,EXECUTE,3845,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2806195847,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2806195847,EXECUTE,3608,US,BACKEND,ROOT,RPC (execute) time
2806195847,EXECUTE,2660,US,BACKEND,ROOT,QNN accelerator (execute) time
2806195847,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2806195847,EXECUTE,6821,US,BACKEND,ROOT,Time for initial VTCM acquire
2806195847,EXECUTE,4779,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
2806195847,EXECUTE,69006,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
2806195847,EXECUTE,7222,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
2806195847,EXECUTE,7218,CYCLES,BACKEND,SUB-EVENT,CastLhsToFp16_0:OpId_16 (cycles)
2806195847,EXECUTE,12727,CYCLES,BACKEND,SUB-EVENT,CastRhsToFp16_0:OpId_17 (cycles)
2806195847,EXECUTE,23308,CYCLES,BACKEND,SUB-EVENT,QnnBuiltinMatMul_0:OpId_18 (cycles)
2806195847,EXECUTE,5797,CYCLES,BACKEND,SUB-EVENT,CastOutputToFp32_0:OpId_22 (cycles)
2806195847,EXECUTE,12734,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
2806195847,EXECUTE,2319,US,BACKEND,ROOT,Accelerator (execute) time
2806195847,EXECUTE,556,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
2806195847,EXECUTE,3756,US,BACKEND,ROOT,QNN (execute) time
2806205013,EXECUTE,3859,US,NETRUN,ROOT,Graph 0: matMulQhpiHvxFp16Graph
2806205013,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
2806205013,EXECUTE,3523,US,BACKEND,ROOT,RPC (execute) time
2806205013,EXECUTE,2661,US,BACKEND,ROOT,QNN accelerator (execute) time
2806205013,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
2806205013,EXECUTE,7117,US,BACKEND,ROOT,Time for initial VTCM acquire
