input log file location, qnn_custom_ops/qwen_flash_attention_hvx/device_output/past128/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
11137492527,INIT,424654,US,NETRUN,ROOT,null
11137587224,COMPOSE GRAPHS,93976,US,NETRUN,ROOT,null
11137913582,FINALIZE,326070,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention
11137913582,FINALIZE,5692,US,BACKEND,ROOT,RPC (finalize) time
11137913582,FINALIZE,5150,US,BACKEND,ROOT,QNN accelerator (finalize) time
11137913582,FINALIZE,5024,US,BACKEND,ROOT,Accelerator (finalize) time
11137913582,FINALIZE,326022,US,BACKEND,ROOT,QNN (finalize) time
11137913582,FINALIZE,227,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
11137913582,FINALIZE,250952,US,BACKEND,SUB-EVENT,Graph Optimizations
11137913582,FINALIZE,2724,US,BACKEND,SUB-EVENT,Post Graph Optimization
11137913582,FINALIZE,15516,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
11137913582,FINALIZE,1958,US,BACKEND,SUB-EVENT,VTCM Allocation
11137913582,FINALIZE,1330,US,BACKEND,SUB-EVENT,Parallelization Optimization
11137913582,FINALIZE,1570,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
11137913582,FINALIZE,78,US,BACKEND,SUB-EVENT,Completion
11138236468,DE-INIT,49947,US,NETRUN,ROOT,null
11138236468,DE-INIT,9095,US,BACKEND,ROOT,RPC (deinit) time
11138236468,DE-INIT,7754,US,BACKEND,ROOT,QNN Accelerator (deinit) time
11138236468,DE-INIT,7618,US,BACKEND,ROOT,Accelerator (deinit) time
11138236468,DE-INIT,49920,US,BACKEND,ROOT,QNN (deinit) time
11137945571,EXECUTE,30959,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention
11137945571,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
11137945571,EXECUTE,30733,US,BACKEND,ROOT,RPC (execute) time
11137945571,EXECUTE,30023,US,BACKEND,ROOT,QNN accelerator (execute) time
11137945571,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
11137945571,EXECUTE,754,US,BACKEND,ROOT,Time for initial VTCM acquire
11137945571,EXECUTE,33851,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
11137945571,EXECUTE,18269862,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
11137945571,EXECUTE,11697,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
11137945571,EXECUTE,4094,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
11137945571,EXECUTE,31506,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
11137945571,EXECUTE,10516,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
11137945571,EXECUTE,39646,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
11137945571,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
11137945571,EXECUTE,1624,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
11137945571,EXECUTE,1130,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
11137945571,EXECUTE,3201,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
11137945571,EXECUTE,3711,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
11137945571,EXECUTE,489,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
11137945571,EXECUTE,2690,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
11137945571,EXECUTE,2465,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
11137945571,EXECUTE,24493,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_49 (cycles)
11137945571,EXECUTE,6398,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_55 (cycles)
11137945571,EXECUTE,1816,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_61 (cycles)
11137945571,EXECUTE,1500,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_64 (cycles)
11137945571,EXECUTE,258,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_66 (cycles)
11137945571,EXECUTE,1700,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_68 (cycles)
11137945571,EXECUTE,1783,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_70 (cycles)
11137945571,EXECUTE,1999,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_72 (cycles)
11137945571,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_74 (cycles)
11137945571,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_75 (cycles)
11137945571,EXECUTE,826,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_76 (cycles)
11137945571,EXECUTE,2717,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_78 (cycles)
11137945571,EXECUTE,24240,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_80 (cycles)
11137945571,EXECUTE,5670,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_86 (cycles)
11137945571,EXECUTE,3704,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_91 (cycles)
11137945571,EXECUTE,2502,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_93 (cycles)
11137945571,EXECUTE,514,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_95 (cycles)
11137945571,EXECUTE,2513,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_97 (cycles)
11137945571,EXECUTE,1550,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_99 (cycles)
11137945571,EXECUTE,755,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_101 (cycles)
11137945571,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_2:OpId_103 (cycles)
11137945571,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_3:OpId_104 (cycles)
11137945571,EXECUTE,1640,CYCLES,BACKEND,SUB-EVENT,_Concat_2:OpId_105 (cycles)
11137945571,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_107 (cycles)
11137945571,EXECUTE,868,CYCLES,BACKEND,SUB-EVENT,current_key_nhwc:OpId_109 (cycles)
11137945571,EXECUTE,12165,CYCLES,BACKEND,SUB-EVENT,_Concat_4:OpId_110 (cycles)
