input log file location, qnn_custom_ops/qwen_flash_attention_hvx/device_output/past128_head_contiguous_qfloat/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
12665924505,INIT,424953,US,NETRUN,ROOT,null
12666018875,COMPOSE GRAPHS,93082,US,NETRUN,ROOT,null
12666340341,FINALIZE,321134,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention_head_contiguous
12666340341,FINALIZE,6729,US,BACKEND,ROOT,RPC (finalize) time
12666340341,FINALIZE,4886,US,BACKEND,ROOT,QNN accelerator (finalize) time
12666340341,FINALIZE,4733,US,BACKEND,ROOT,Accelerator (finalize) time
12666340341,FINALIZE,321083,US,BACKEND,ROOT,QNN (finalize) time
12666340341,FINALIZE,176,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
12666340341,FINALIZE,240774,US,BACKEND,SUB-EVENT,Graph Optimizations
12666340341,FINALIZE,2620,US,BACKEND,SUB-EVENT,Post Graph Optimization
12666340341,FINALIZE,15861,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
12666340341,FINALIZE,1906,US,BACKEND,SUB-EVENT,VTCM Allocation
12666340341,FINALIZE,1216,US,BACKEND,SUB-EVENT,Parallelization Optimization
12666340341,FINALIZE,1528,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
12666340341,FINALIZE,70,US,BACKEND,SUB-EVENT,Completion
12666527306,DE-INIT,46287,US,NETRUN,ROOT,null
12666527306,DE-INIT,10141,US,BACKEND,ROOT,RPC (deinit) time
12666527306,DE-INIT,7651,US,BACKEND,ROOT,QNN Accelerator (deinit) time
12666527306,DE-INIT,7499,US,BACKEND,ROOT,Accelerator (deinit) time
12666527306,DE-INIT,46273,US,BACKEND,ROOT,QNN (deinit) time
12666360803,EXECUTE,19987,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention_head_contiguous
12666360803,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
12666360803,EXECUTE,19524,US,BACKEND,ROOT,RPC (execute) time
12666360803,EXECUTE,17394,US,BACKEND,ROOT,QNN accelerator (execute) time
12666360803,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
12666360803,EXECUTE,806,US,BACKEND,ROOT,Time for initial VTCM acquire
12666360803,EXECUTE,34427,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
12666360803,EXECUTE,1660646,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
12666360803,EXECUTE,10327,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
12666360803,EXECUTE,4220,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
12666360803,EXECUTE,22188,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
12666360803,EXECUTE,10568,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
12666360803,EXECUTE,40607,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
12666360803,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
12666360803,EXECUTE,3685,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
12666360803,EXECUTE,4820,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
12666360803,EXECUTE,1541,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
12666360803,EXECUTE,2229,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
12666360803,EXECUTE,486,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
12666360803,EXECUTE,2543,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
12666360803,EXECUTE,2254,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
12666360803,EXECUTE,27131,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_49 (cycles)
12666360803,EXECUTE,6561,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_55 (cycles)
12666360803,EXECUTE,1527,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_61 (cycles)
12666360803,EXECUTE,1389,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_64 (cycles)
12666360803,EXECUTE,259,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_66 (cycles)
