input log file location, qnn_custom_ops/qwen_flash_attention_hvx/device_output/past128_head_contiguous_qk/qnn-profiling-data_2.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
12540044773,INIT,425551,US,NETRUN,ROOT,null
12540151831,COMPOSE GRAPHS,105263,US,NETRUN,ROOT,null
12540466888,FINALIZE,314712,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention_head_contiguous
12540466888,FINALIZE,6309,US,BACKEND,ROOT,RPC (finalize) time
12540466888,FINALIZE,4590,US,BACKEND,ROOT,QNN accelerator (finalize) time
12540466888,FINALIZE,4467,US,BACKEND,ROOT,Accelerator (finalize) time
12540466888,FINALIZE,314663,US,BACKEND,ROOT,QNN (finalize) time
12540466888,FINALIZE,171,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
12540466888,FINALIZE,240531,US,BACKEND,SUB-EVENT,Graph Optimizations
12540466888,FINALIZE,2564,US,BACKEND,SUB-EVENT,Post Graph Optimization
12540466888,FINALIZE,15935,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
12540466888,FINALIZE,2016,US,BACKEND,SUB-EVENT,VTCM Allocation
12540466888,FINALIZE,1204,US,BACKEND,SUB-EVENT,Parallelization Optimization
12540466888,FINALIZE,1525,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
12540466888,FINALIZE,72,US,BACKEND,SUB-EVENT,Completion
12540645018,DE-INIT,47914,US,NETRUN,ROOT,null
12540645018,DE-INIT,10358,US,BACKEND,ROOT,RPC (deinit) time
12540645018,DE-INIT,7664,US,BACKEND,ROOT,QNN Accelerator (deinit) time
12540645018,DE-INIT,7508,US,BACKEND,ROOT,Accelerator (deinit) time
12540645018,DE-INIT,47899,US,BACKEND,ROOT,QNN (deinit) time
12540486808,EXECUTE,19383,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_flash_attention_head_contiguous
12540486808,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
12540486808,EXECUTE,19062,US,BACKEND,ROOT,RPC (execute) time
12540486808,EXECUTE,17354,US,BACKEND,ROOT,QNN accelerator (execute) time
12540486808,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
12540486808,EXECUTE,766,US,BACKEND,ROOT,Time for initial VTCM acquire
12540486808,EXECUTE,34549,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
12540486808,EXECUTE,1668315,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
12540486808,EXECUTE,10375,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
12540486808,EXECUTE,4119,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
12540486808,EXECUTE,21816,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
12540486808,EXECUTE,9578,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
12540486808,EXECUTE,40333,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
12540486808,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
12540486808,EXECUTE,3569,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
12540486808,EXECUTE,5389,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
12540486808,EXECUTE,1598,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
12540486808,EXECUTE,2755,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
12540486808,EXECUTE,539,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
12540486808,EXECUTE,2338,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
12540486808,EXECUTE,2105,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
