input log file location, qnn_quantization/08_w8a16_matmul/profile/w8a8.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
987752459599,INIT,109559,US,NETRUN,ROOT,null
987752559321,COMPOSE GRAPHS,97363,US,NETRUN,ROOT,null
987752571653,FINALIZE,12146,US,NETRUN,ROOT,Graph 0: int8_per_axis_calibrated
987752571653,FINALIZE,4252,US,BACKEND,ROOT,RPC (finalize) time
987752571653,FINALIZE,2372,US,BACKEND,ROOT,QNN accelerator (finalize) time
987752571653,FINALIZE,2243,US,BACKEND,ROOT,Accelerator (finalize) time
987752571653,FINALIZE,12123,US,BACKEND,ROOT,QNN (finalize) time
987752571653,FINALIZE,173,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
987752571653,FINALIZE,2095,US,BACKEND,SUB-EVENT,Graph Optimizations
987752571653,FINALIZE,217,US,BACKEND,SUB-EVENT,Post Graph Optimization
987752571653,FINALIZE,343,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
987752571653,FINALIZE,39,US,BACKEND,SUB-EVENT,VTCM Allocation
987752571653,FINALIZE,14,US,BACKEND,SUB-EVENT,Parallelization Optimization
987752571653,FINALIZE,47,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
987752571653,FINALIZE,4,US,BACKEND,SUB-EVENT,Completion
987752634305,DE-INIT,21380,US,NETRUN,ROOT,null
987752634305,DE-INIT,4863,US,BACKEND,ROOT,RPC (deinit) time
987752634305,DE-INIT,3829,US,BACKEND,ROOT,QNN Accelerator (deinit) time
987752634305,DE-INIT,3695,US,BACKEND,ROOT,Accelerator (deinit) time
987752634305,DE-INIT,21363,US,BACKEND,ROOT,QNN (deinit) time
987752576290,EXECUTE,4815,US,NETRUN,ROOT,Graph 0: int8_per_axis_calibrated
987752576290,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
987752576290,EXECUTE,4550,US,BACKEND,ROOT,RPC (execute) time
987752576290,EXECUTE,2668,US,BACKEND,ROOT,QNN accelerator (execute) time
987752576290,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
987752576290,EXECUTE,681,US,BACKEND,ROOT,Time for initial VTCM acquire
987752576290,EXECUTE,36385,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
987752576290,EXECUTE,32566,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
987752576290,EXECUTE,6667,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
987752576290,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,lhs_nchw:OpId_17 (cycles)
987752576290,EXECUTE,17894,CYCLES,BACKEND,SUB-EVENT,MatMul:OpId_20 (cycles)
987752576290,EXECUTE,8005,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
987752576290,EXECUTE,2110,US,BACKEND,ROOT,Accelerator (execute) time
987752576290,EXECUTE,96,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
987752576290,EXECUTE,4777,US,BACKEND,ROOT,QNN (execute) time
987752584562,EXECUTE,1390,US,NETRUN,ROOT,Graph 0: int8_per_axis_calibrated
987752584562,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
987752584562,EXECUTE,1167,US,BACKEND,ROOT,RPC (execute) time
987752584562,EXECUTE,397,US,BACKEND,ROOT,QNN accelerator (execute) time
987752584562,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
987752584562,EXECUTE,538,US,BACKEND,ROOT,Time for initial VTCM acquire
987752584562,EXECUTE,105,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
987752584562,EXECUTE,17078,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
987752584562,EXECUTE,4151,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
987752584562,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,lhs_nchw:OpId_17 (cycles)
987752584562,EXECUTE,9654,CYCLES,BACKEND,SUB-EVENT,MatMul:OpId_20 (cycles)
