input log file location, qwen_block_custom_qnn/device_output/builtin_layer0_decode_past128_grouped_gqa/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
3990600540,INIT,519188,US,NETRUN,ROOT,null
3990793393,COMPOSE GRAPHS,191269,US,NETRUN,ROOT,null
3991121407,FINALIZE,327809,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa
3991121407,FINALIZE,5339,US,BACKEND,ROOT,RPC (finalize) time
3991121407,FINALIZE,4941,US,BACKEND,ROOT,QNN accelerator (finalize) time
3991121407,FINALIZE,4827,US,BACKEND,ROOT,Accelerator (finalize) time
3991121407,FINALIZE,327757,US,BACKEND,ROOT,QNN (finalize) time
3991121407,FINALIZE,165,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
3991121407,FINALIZE,247021,US,BACKEND,SUB-EVENT,Graph Optimizations
3991121407,FINALIZE,3037,US,BACKEND,SUB-EVENT,Post Graph Optimization
3991121407,FINALIZE,17248,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
3991121407,FINALIZE,2105,US,BACKEND,SUB-EVENT,VTCM Allocation
3991121407,FINALIZE,1330,US,BACKEND,SUB-EVENT,Parallelization Optimization
3991121407,FINALIZE,2097,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
3991121407,FINALIZE,79,US,BACKEND,SUB-EVENT,Completion
3991484371,DE-INIT,66065,US,NETRUN,ROOT,null
3991484371,DE-INIT,9089,US,BACKEND,ROOT,RPC (deinit) time
3991484371,DE-INIT,7872,US,BACKEND,ROOT,QNN Accelerator (deinit) time
3991484371,DE-INIT,7721,US,BACKEND,ROOT,Accelerator (deinit) time
3991484371,DE-INIT,66041,US,BACKEND,ROOT,QNN (deinit) time
3991142682,EXECUTE,20069,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa
3991142682,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
3991142682,EXECUTE,19592,US,BACKEND,ROOT,RPC (execute) time
3991142682,EXECUTE,18790,US,BACKEND,ROOT,QNN accelerator (execute) time
3991142682,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
3991142682,EXECUTE,797,US,BACKEND,ROOT,Time for initial VTCM acquire
3991142682,EXECUTE,38051,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
3991142682,EXECUTE,1206715,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
3991142682,EXECUTE,26798,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
3991142682,EXECUTE,1378,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
3991142682,EXECUTE,16816,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
3991142682,EXECUTE,4368,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
3991142682,EXECUTE,32451,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
3991142682,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
3991142682,EXECUTE,1483,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
3991142682,EXECUTE,9639,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
