input log file location, qwen_block_custom_qnn/device_output/builtin_layer0_decode_past128_grouped_gqa_delta_kv/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
4278101229,INIT,437150,US,NETRUN,ROOT,null
4278215031,COMPOSE GRAPHS,112728,US,NETRUN,ROOT,null
4278539717,FINALIZE,324376,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa_delta_kv
4278539717,FINALIZE,6277,US,BACKEND,ROOT,RPC (finalize) time
4278539717,FINALIZE,5760,US,BACKEND,ROOT,QNN accelerator (finalize) time
4278539717,FINALIZE,5602,US,BACKEND,ROOT,Accelerator (finalize) time
4278539717,FINALIZE,324324,US,BACKEND,ROOT,QNN (finalize) time
4278539717,FINALIZE,156,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
4278539717,FINALIZE,245892,US,BACKEND,SUB-EVENT,Graph Optimizations
4278539717,FINALIZE,2762,US,BACKEND,SUB-EVENT,Post Graph Optimization
4278539717,FINALIZE,16659,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
4278539717,FINALIZE,2078,US,BACKEND,SUB-EVENT,VTCM Allocation
4278539717,FINALIZE,1358,US,BACKEND,SUB-EVENT,Parallelization Optimization
4278539717,FINALIZE,1909,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
4278539717,FINALIZE,102,US,BACKEND,SUB-EVENT,Completion
4278717940,DE-INIT,45427,US,NETRUN,ROOT,null
4278717940,DE-INIT,8831,US,BACKEND,ROOT,RPC (deinit) time
4278717940,DE-INIT,7523,US,BACKEND,ROOT,QNN Accelerator (deinit) time
4278717940,DE-INIT,7402,US,BACKEND,ROOT,Accelerator (deinit) time
4278717940,DE-INIT,45411,US,BACKEND,ROOT,QNN (deinit) time
4278560659,EXECUTE,19446,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa_delta_kv
4278560659,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
4278560659,EXECUTE,19091,US,BACKEND,ROOT,RPC (execute) time
4278560659,EXECUTE,18308,US,BACKEND,ROOT,QNN accelerator (execute) time
4278560659,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
4278560659,EXECUTE,753,US,BACKEND,ROOT,Time for initial VTCM acquire
4278560659,EXECUTE,33274,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
4278560659,EXECUTE,1207159,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
4278560659,EXECUTE,22771,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
4278560659,EXECUTE,5019,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
4278560659,EXECUTE,17321,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
4278560659,EXECUTE,7113,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
4278560659,EXECUTE,35815,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
4278560659,EXECUTE,7457,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
4278560659,EXECUTE,8121,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
4278560659,EXECUTE,1545,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
4278560659,EXECUTE,6376,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
4278560659,EXECUTE,551,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
4278560659,EXECUTE,2416,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
4278560659,EXECUTE,2217,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
4278560659,EXECUTE,21187,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_49 (cycles)
4278560659,EXECUTE,4842,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_55 (cycles)
4278560659,EXECUTE,1398,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_61 (cycles)
4278560659,EXECUTE,1280,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_64 (cycles)
4278560659,EXECUTE,239,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_66 (cycles)
4278560659,EXECUTE,1742,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_68 (cycles)
4278560659,EXECUTE,1290,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_70 (cycles)
4278560659,EXECUTE,2207,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_72 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_74 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_75 (cycles)
4278560659,EXECUTE,823,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_76 (cycles)
4278560659,EXECUTE,609,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_78 (cycles)
4278560659,EXECUTE,20141,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_80 (cycles)
4278560659,EXECUTE,4862,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_86 (cycles)
4278560659,EXECUTE,4539,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_91 (cycles)
4278560659,EXECUTE,717,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_93 (cycles)
4278560659,EXECUTE,476,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_95 (cycles)
4278560659,EXECUTE,4215,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_97 (cycles)
4278560659,EXECUTE,681,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_99 (cycles)
4278560659,EXECUTE,804,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_101 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_2:OpId_103 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_3:OpId_104 (cycles)
4278560659,EXECUTE,2694,CYCLES,BACKEND,SUB-EVENT,_Concat_2:OpId_105 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_107 (cycles)
4278560659,EXECUTE,886,CYCLES,BACKEND,SUB-EVENT,current_key_nhwc:OpId_109 (cycles)
4278560659,EXECUTE,3004,CYCLES,BACKEND,SUB-EVENT,_Concat_4:OpId_110 (cycles)
4278560659,EXECUTE,353599,CYCLES,BACKEND,SUB-EVENT,_Concat_4_output_0_nchw:OpId_113 (cycles)
4278560659,EXECUTE,2223,CYCLES,BACKEND,SUB-EVENT,_Concat_5:OpId_114 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_4:OpId_116 (cycles)
4278560659,EXECUTE,32578,CYCLES,BACKEND,SUB-EVENT,_MatMul_3:OpId_117 (cycles)
4278560659,EXECUTE,5527,CYCLES,BACKEND,SUB-EVENT,_Div_1:OpId_122 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Add_6:OpId_125 (cycles)
4278560659,EXECUTE,20729,CYCLES,BACKEND,SUB-EVENT,_Softmax:OpId_127 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_5:OpId_130 (cycles)
4278560659,EXECUTE,32962,CYCLES,BACKEND,SUB-EVENT,_MatMul_4:OpId_131 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_6:OpId_135 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Transpose_4:OpId_137 (cycles)
4278560659,EXECUTE,25005,CYCLES,BACKEND,SUB-EVENT,_MatMul_5:OpId_139 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_post_reshape:OpId_142 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_output_0_nfc:OpId_144 (cycles)
4278560659,EXECUTE,64362,CYCLES,BACKEND,SUB-EVENT,_Add_7:OpId_146 (cycles)
4278560659,EXECUTE,225,CYCLES,BACKEND,SUB-EVENT,_Add_7_output_0_ncf:OpId_149 (cycles)
4278560659,EXECUTE,2003,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_11_output_0:OpId_154 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6:OpId_158 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6_post_reshape:OpId_161 (cycles)
4278560659,EXECUTE,153747,CYCLES,BACKEND,SUB-EVENT,_MatMul_7:OpId_163 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_7_post_reshape:OpId_166 (cycles)
4278560659,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Sigmoid:OpId_167 (cycles)
4278560659,EXECUTE,120661,CYCLES,BACKEND,SUB-EVENT,_Mul_12:OpId_174 (cycles)
4278560659,EXECUTE,23645,CYCLES,BACKEND,SUB-EVENT,_Mul_13:OpId_176 (cycles)
4278560659,EXECUTE,156382,CYCLES,BACKEND,SUB-EVENT,_MatMul_8:OpId_179 (cycles)
