input log file location, qwen_block_custom_qnn/device_output/builtin_layer0_decode_past16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
3790423756,INIT,464855,US,NETRUN,ROOT,null
3790542035,COMPOSE GRAPHS,115868,US,NETRUN,ROOT,null
3790891314,FINALIZE,348940,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past16
3790891314,FINALIZE,5977,US,BACKEND,ROOT,RPC (finalize) time
3790891314,FINALIZE,4719,US,BACKEND,ROOT,QNN accelerator (finalize) time
3790891314,FINALIZE,4606,US,BACKEND,ROOT,Accelerator (finalize) time
3790891314,FINALIZE,348892,US,BACKEND,ROOT,QNN (finalize) time
3790891314,FINALIZE,165,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
3790891314,FINALIZE,265442,US,BACKEND,SUB-EVENT,Graph Optimizations
3790891314,FINALIZE,2941,US,BACKEND,SUB-EVENT,Post Graph Optimization
3790891314,FINALIZE,16088,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
3790891314,FINALIZE,2347,US,BACKEND,SUB-EVENT,VTCM Allocation
3790891314,FINALIZE,1112,US,BACKEND,SUB-EVENT,Parallelization Optimization
3790891314,FINALIZE,2083,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
3790891314,FINALIZE,79,US,BACKEND,SUB-EVENT,Completion
3791079366,DE-INIT,48215,US,NETRUN,ROOT,null
3791079366,DE-INIT,10305,US,BACKEND,ROOT,RPC (deinit) time
3791079366,DE-INIT,7702,US,BACKEND,ROOT,QNN Accelerator (deinit) time
3791079366,DE-INIT,7543,US,BACKEND,ROOT,Accelerator (deinit) time
3791079366,DE-INIT,48200,US,BACKEND,ROOT,QNN (deinit) time
3790911432,EXECUTE,19447,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past16
3790911432,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
3790911432,EXECUTE,19066,US,BACKEND,ROOT,RPC (execute) time
3790911432,EXECUTE,17103,US,BACKEND,ROOT,QNN accelerator (execute) time
3790911432,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
3790911432,EXECUTE,800,US,BACKEND,ROOT,Time for initial VTCM acquire
3790911432,EXECUTE,33756,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
3790911432,EXECUTE,806466,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
3790911432,EXECUTE,12539,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
3790911432,EXECUTE,8811,CYCLES,BACKEND,SUB-EVENT,past_key_nhwc:OpId_20 (cycles)
3790911432,EXECUTE,48995,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
3790911432,EXECUTE,19661,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
3790911432,EXECUTE,3431,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
3790911432,EXECUTE,5138,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
3790911432,EXECUTE,1509,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
3790911432,EXECUTE,3957,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
3790911432,EXECUTE,501,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
3790911432,EXECUTE,1551,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
3790911432,EXECUTE,796,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
3790911432,EXECUTE,21896,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_49 (cycles)
3790911432,EXECUTE,7417,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_55 (cycles)
3790911432,EXECUTE,1680,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_61 (cycles)
3790911432,EXECUTE,1393,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_64 (cycles)
3790911432,EXECUTE,238,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_66 (cycles)
3790911432,EXECUTE,1702,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_68 (cycles)
3790911432,EXECUTE,1650,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_70 (cycles)
3790911432,EXECUTE,1965,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_72 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_74 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_75 (cycles)
3790911432,EXECUTE,846,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_76 (cycles)
3790911432,EXECUTE,508,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_78 (cycles)
3790911432,EXECUTE,23075,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_80 (cycles)
3790911432,EXECUTE,6026,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_86 (cycles)
3790911432,EXECUTE,4037,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_91 (cycles)
3790911432,EXECUTE,975,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_93 (cycles)
3790911432,EXECUTE,636,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_95 (cycles)
3790911432,EXECUTE,3895,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_97 (cycles)
3790911432,EXECUTE,930,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_99 (cycles)
3790911432,EXECUTE,937,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_101 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_2:OpId_103 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_3:OpId_104 (cycles)
3790911432,EXECUTE,2808,CYCLES,BACKEND,SUB-EVENT,_Concat_2:OpId_105 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_107 (cycles)
3790911432,EXECUTE,506,CYCLES,BACKEND,SUB-EVENT,_Reshape_4_output_0_nhwc:OpId_109 (cycles)
3790911432,EXECUTE,801,CYCLES,BACKEND,SUB-EVENT,_Concat_4:OpId_110 (cycles)
3790911432,EXECUTE,1633,CYCLES,BACKEND,SUB-EVENT,present_key_nchw:OpId_113 (cycles)
3790911432,EXECUTE,4885,CYCLES,BACKEND,SUB-EVENT,_Concat_5:OpId_114 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_4:OpId_116 (cycles)
3790911432,EXECUTE,2242,CYCLES,BACKEND,SUB-EVENT,_Tile:OpId_118 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_5:OpId_119 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_5:OpId_120 (cycles)
3790911432,EXECUTE,3764,CYCLES,BACKEND,SUB-EVENT,_Tile_1:OpId_122 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_6:OpId_123 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Transpose_3:OpId_125 (cycles)
3790911432,EXECUTE,69746,CYCLES,BACKEND,SUB-EVENT,_MatMul_3:OpId_126 (cycles)
3790911432,EXECUTE,3043,CYCLES,BACKEND,SUB-EVENT,_Div_1:OpId_131 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Add_6:OpId_134 (cycles)
3790911432,EXECUTE,32802,CYCLES,BACKEND,SUB-EVENT,_Softmax:OpId_136 (cycles)
3790911432,EXECUTE,25345,CYCLES,BACKEND,SUB-EVENT,_MatMul_4:OpId_139 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Transpose_4:OpId_144 (cycles)
3790911432,EXECUTE,10422,CYCLES,BACKEND,SUB-EVENT,_MatMul_5:OpId_146 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_post_reshape:OpId_149 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_output_0_nfc:OpId_151 (cycles)
3790911432,EXECUTE,34810,CYCLES,BACKEND,SUB-EVENT,_Add_7:OpId_153 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Add_7_output_0_ncf:OpId_156 (cycles)
3790911432,EXECUTE,2174,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_11_output_0:OpId_161 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6:OpId_165 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6_post_reshape:OpId_168 (cycles)
3790911432,EXECUTE,130943,CYCLES,BACKEND,SUB-EVENT,_MatMul_7:OpId_170 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_7_post_reshape:OpId_173 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Sigmoid:OpId_174 (cycles)
3790911432,EXECUTE,112754,CYCLES,BACKEND,SUB-EVENT,_Mul_12:OpId_181 (cycles)
3790911432,EXECUTE,16088,CYCLES,BACKEND,SUB-EVENT,_Mul_13:OpId_183 (cycles)
3790911432,EXECUTE,151980,CYCLES,BACKEND,SUB-EVENT,_MatMul_8:OpId_186 (cycles)
3790911432,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_8_post_reshape:OpId_189 (cycles)
