input log file location, qwen_block_custom_qnn/device_output/builtin_layer0_decode_past32/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
3629913496,INIT,448802,US,NETRUN,ROOT,null
3630025652,COMPOSE GRAPHS,111246,US,NETRUN,ROOT,null
3630363433,FINALIZE,337513,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past32
3630363433,FINALIZE,6341,US,BACKEND,ROOT,RPC (finalize) time
3630363433,FINALIZE,4606,US,BACKEND,ROOT,QNN accelerator (finalize) time
3630363433,FINALIZE,4492,US,BACKEND,ROOT,Accelerator (finalize) time
3630363433,FINALIZE,337464,US,BACKEND,ROOT,QNN (finalize) time
3630363433,FINALIZE,161,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
3630363433,FINALIZE,252633,US,BACKEND,SUB-EVENT,Graph Optimizations
3630363433,FINALIZE,2962,US,BACKEND,SUB-EVENT,Post Graph Optimization
3630363433,FINALIZE,17146,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
3630363433,FINALIZE,2069,US,BACKEND,SUB-EVENT,VTCM Allocation
3630363433,FINALIZE,1348,US,BACKEND,SUB-EVENT,Parallelization Optimization
3630363433,FINALIZE,1741,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
3630363433,FINALIZE,79,US,BACKEND,SUB-EVENT,Completion
3630629136,DE-INIT,70417,US,NETRUN,ROOT,null
3630629136,DE-INIT,9171,US,BACKEND,ROOT,RPC (deinit) time
3630629136,DE-INIT,7815,US,BACKEND,ROOT,QNN Accelerator (deinit) time
3630629136,DE-INIT,7664,US,BACKEND,ROOT,Accelerator (deinit) time
3630629136,DE-INIT,70398,US,BACKEND,ROOT,QNN (deinit) time
3630385079,EXECUTE,20490,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past32
3630385079,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
3630385079,EXECUTE,19889,US,BACKEND,ROOT,RPC (execute) time
3630385079,EXECUTE,17824,US,BACKEND,ROOT,QNN accelerator (execute) time
3630385079,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
3630385079,EXECUTE,682,US,BACKEND,ROOT,Time for initial VTCM acquire
3630385079,EXECUTE,34612,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
3630385079,EXECUTE,922216,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
3630385079,EXECUTE,22121,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
3630385079,EXECUTE,3838,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
3630385079,EXECUTE,15053,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
3630385079,EXECUTE,4486,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
3630385079,EXECUTE,20931,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
3630385079,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
3630385079,EXECUTE,3434,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
3630385079,EXECUTE,4631,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
