input log file location, qwen_block_custom_qnn/device_output/builtin_layer0_decode_past64/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
3792573147,INIT,451339,US,NETRUN,ROOT,null
3792686799,COMPOSE GRAPHS,111596,US,NETRUN,ROOT,null
3793026816,FINALIZE,339696,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past64
3793026816,FINALIZE,7646,US,BACKEND,ROOT,RPC (finalize) time
3793026816,FINALIZE,6064,US,BACKEND,ROOT,QNN accelerator (finalize) time
3793026816,FINALIZE,5918,US,BACKEND,ROOT,Accelerator (finalize) time
3793026816,FINALIZE,339645,US,BACKEND,ROOT,QNN (finalize) time
3793026816,FINALIZE,168,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
3793026816,FINALIZE,253995,US,BACKEND,SUB-EVENT,Graph Optimizations
3793026816,FINALIZE,2911,US,BACKEND,SUB-EVENT,Post Graph Optimization
3793026816,FINALIZE,16571,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
3793026816,FINALIZE,2062,US,BACKEND,SUB-EVENT,VTCM Allocation
3793026816,FINALIZE,1484,US,BACKEND,SUB-EVENT,Parallelization Optimization
3793026816,FINALIZE,2168,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
3793026816,FINALIZE,97,US,BACKEND,SUB-EVENT,Completion
3793261559,DE-INIT,51303,US,NETRUN,ROOT,null
3793261559,DE-INIT,10243,US,BACKEND,ROOT,RPC (deinit) time
3793261559,DE-INIT,7850,US,BACKEND,ROOT,QNN Accelerator (deinit) time
3793261559,DE-INIT,7695,US,BACKEND,ROOT,Accelerator (deinit) time
3793261559,DE-INIT,51287,US,BACKEND,ROOT,QNN (deinit) time
3793047251,EXECUTE,19793,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past64
3793047251,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
3793047251,EXECUTE,19327,US,BACKEND,ROOT,RPC (execute) time
3793047251,EXECUTE,17644,US,BACKEND,ROOT,QNN accelerator (execute) time
3793047251,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
3793047251,EXECUTE,774,US,BACKEND,ROOT,Time for initial VTCM acquire
3793047251,EXECUTE,34333,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
3793047251,EXECUTE,914435,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
3793047251,EXECUTE,18124,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
3793047251,EXECUTE,3537,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
3793047251,EXECUTE,24293,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
3793047251,EXECUTE,5883,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
3793047251,EXECUTE,30771,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
3793047251,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
3793047251,EXECUTE,5136,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
3793047251,EXECUTE,12216,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
3793047251,EXECUTE,1548,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
3793047251,EXECUTE,10989,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
3793047251,EXECUTE,511,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
3793047251,EXECUTE,2811,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
3793047251,EXECUTE,2494,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
3793047251,EXECUTE,32230,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_49 (cycles)
3793047251,EXECUTE,9426,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_55 (cycles)
3793047251,EXECUTE,1861,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_61 (cycles)
3793047251,EXECUTE,1246,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_64 (cycles)
3793047251,EXECUTE,279,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_66 (cycles)
3793047251,EXECUTE,2023,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_68 (cycles)
3793047251,EXECUTE,1913,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_70 (cycles)
3793047251,EXECUTE,2292,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_72 (cycles)
3793047251,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_74 (cycles)
3793047251,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_75 (cycles)
3793047251,EXECUTE,847,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_76 (cycles)
3793047251,EXECUTE,529,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_78 (cycles)
3793047251,EXECUTE,39439,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_80 (cycles)
3793047251,EXECUTE,6418,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_86 (cycles)
3793047251,EXECUTE,12875,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_91 (cycles)
3793047251,EXECUTE,7472,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_93 (cycles)
3793047251,EXECUTE,1819,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_95 (cycles)
3793047251,EXECUTE,12823,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_97 (cycles)
3793047251,EXECUTE,7411,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_99 (cycles)
3793047251,EXECUTE,2598,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_101 (cycles)
3793047251,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_2:OpId_103 (cycles)
3793047251,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_3:OpId_104 (cycles)
3793047251,EXECUTE,4504,CYCLES,BACKEND,SUB-EVENT,_Concat_2:OpId_105 (cycles)
3793047251,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_107 (cycles)
3793047251,EXECUTE,2168,CYCLES,BACKEND,SUB-EVENT,_Reshape_4_output_0_nhwc:OpId_109 (cycles)
3793047251,EXECUTE,1836,CYCLES,BACKEND,SUB-EVENT,_Concat_4:OpId_110 (cycles)
3793047251,EXECUTE,1558,CYCLES,BACKEND,SUB-EVENT,present_key_nchw:OpId_113 (cycles)
