input log file location, qwen_block_custom_qnn/device_output/builtin_layer0_prefill_seq16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
358253018997,INIT,570232,US,NETRUN,ROOT,null
358253219088,COMPOSE GRAPHS,198124,US,NETRUN,ROOT,null
358253591403,FINALIZE,371909,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
358253591403,FINALIZE,6118,US,BACKEND,ROOT,RPC (finalize) time
358253591403,FINALIZE,5729,US,BACKEND,ROOT,QNN accelerator (finalize) time
358253591403,FINALIZE,5584,US,BACKEND,ROOT,Accelerator (finalize) time
358253591403,FINALIZE,371842,US,BACKEND,ROOT,QNN (finalize) time
358253591403,FINALIZE,170,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
358253591403,FINALIZE,279279,US,BACKEND,SUB-EVENT,Graph Optimizations
358253591403,FINALIZE,3725,US,BACKEND,SUB-EVENT,Post Graph Optimization
358253591403,FINALIZE,23713,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
358253591403,FINALIZE,4636,US,BACKEND,SUB-EVENT,VTCM Allocation
358253591403,FINALIZE,1966,US,BACKEND,SUB-EVENT,Parallelization Optimization
358253591403,FINALIZE,2345,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
358253591403,FINALIZE,100,US,BACKEND,SUB-EVENT,Completion
358253861518,DE-INIT,61453,US,NETRUN,ROOT,null
358253861518,DE-INIT,11226,US,BACKEND,ROOT,RPC (deinit) time
358253861518,DE-INIT,8838,US,BACKEND,ROOT,QNN Accelerator (deinit) time
358253861518,DE-INIT,8683,US,BACKEND,ROOT,Accelerator (deinit) time
358253861518,DE-INIT,61419,US,BACKEND,ROOT,QNN (deinit) time
358253614291,EXECUTE,22196,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
358253614291,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
358253614291,EXECUTE,21940,US,BACKEND,ROOT,RPC (execute) time
358253614291,EXECUTE,19789,US,BACKEND,ROOT,QNN accelerator (execute) time
358253614291,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
358253614291,EXECUTE,2863,US,BACKEND,ROOT,Time for initial VTCM acquire
358253614291,EXECUTE,43265,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
358253614291,EXECUTE,1120959,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
358253614291,EXECUTE,4834,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
358253614291,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
358253614291,EXECUTE,89492,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_22 (cycles)
358253614291,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
358253614291,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
358253614291,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
358253614291,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_30 (cycles)
358253614291,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_32 (cycles)
358253614291,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_35 (cycles)
