input log file location, qwen_block_custom_qnn/device_output/decode_delta_baseline_repeat30/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
5329113860,INIT,523940,US,NETRUN,ROOT,null
5329313964,COMPOSE GRAPHS,198497,US,NETRUN,ROOT,null
5329640397,FINALIZE,325396,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa_delta_kv
5329640397,FINALIZE,6416,US,BACKEND,ROOT,RPC (finalize) time
5329640397,FINALIZE,4755,US,BACKEND,ROOT,QNN accelerator (finalize) time
5329640397,FINALIZE,4640,US,BACKEND,ROOT,Accelerator (finalize) time
5329640397,FINALIZE,325344,US,BACKEND,ROOT,QNN (finalize) time
5329640397,FINALIZE,256,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
5329640397,FINALIZE,245086,US,BACKEND,SUB-EVENT,Graph Optimizations
5329640397,FINALIZE,2725,US,BACKEND,SUB-EVENT,Post Graph Optimization
5329640397,FINALIZE,16702,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
5329640397,FINALIZE,2000,US,BACKEND,SUB-EVENT,VTCM Allocation
5329640397,FINALIZE,1336,US,BACKEND,SUB-EVENT,Parallelization Optimization
5329640397,FINALIZE,1917,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
5329640397,FINALIZE,73,US,BACKEND,SUB-EVENT,Completion
5330087485,DE-INIT,62137,US,NETRUN,ROOT,null
5330087485,DE-INIT,8915,US,BACKEND,ROOT,RPC (deinit) time
5330087485,DE-INIT,7560,US,BACKEND,ROOT,QNN Accelerator (deinit) time
5330087485,DE-INIT,7441,US,BACKEND,ROOT,Accelerator (deinit) time
5330087485,DE-INIT,62116,US,BACKEND,ROOT,QNN (deinit) time
5329663664,EXECUTE,22365,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa_delta_kv
5329663664,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
5329663664,EXECUTE,21955,US,BACKEND,ROOT,RPC (execute) time
