input log file location, qwen_block_custom_qnn/device_output/decode_delta_input_cache_repeat30/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
5378288799,INIT,444708,US,NETRUN,ROOT,null
5378426801,COMPOSE GRAPHS,136028,US,NETRUN,ROOT,null
5378735775,FINALIZE,308634,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa_delta_kv
5378735775,FINALIZE,7634,US,BACKEND,ROOT,RPC (finalize) time
5378735775,FINALIZE,5815,US,BACKEND,ROOT,QNN accelerator (finalize) time
5378735775,FINALIZE,5651,US,BACKEND,ROOT,Accelerator (finalize) time
5378735775,FINALIZE,308586,US,BACKEND,ROOT,QNN (finalize) time
5378735775,FINALIZE,152,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
5378735775,FINALIZE,235803,US,BACKEND,SUB-EVENT,Graph Optimizations
5378735775,FINALIZE,2739,US,BACKEND,SUB-EVENT,Post Graph Optimization
5378735775,FINALIZE,16536,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
5378735775,FINALIZE,2068,US,BACKEND,SUB-EVENT,VTCM Allocation
5378735775,FINALIZE,1315,US,BACKEND,SUB-EVENT,Parallelization Optimization
5378735775,FINALIZE,1895,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
5378735775,FINALIZE,74,US,BACKEND,SUB-EVENT,Completion
5379274507,DE-INIT,81027,US,NETRUN,ROOT,null
5379274507,DE-INIT,9010,US,BACKEND,ROOT,RPC (deinit) time
5379274507,DE-INIT,7552,US,BACKEND,ROOT,QNN Accelerator (deinit) time
5379274507,DE-INIT,7432,US,BACKEND,ROOT,Accelerator (deinit) time
5379274507,DE-INIT,80994,US,BACKEND,ROOT,QNN (deinit) time
5378757901,EXECUTE,20917,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa_delta_kv
5378757901,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
5378757901,EXECUTE,20445,US,BACKEND,ROOT,RPC (execute) time
5378757901,EXECUTE,18315,US,BACKEND,ROOT,QNN accelerator (execute) time
5378757901,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
5378757901,EXECUTE,708,US,BACKEND,ROOT,Time for initial VTCM acquire
5378757901,EXECUTE,35107,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
5378757901,EXECUTE,1233436,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
5378757901,EXECUTE,21776,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
5378757901,EXECUTE,5012,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
5378757901,EXECUTE,17713,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
5378757901,EXECUTE,7986,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
5378757901,EXECUTE,39427,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
5378757901,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
5378757901,EXECUTE,7407,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
5378757901,EXECUTE,9005,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
5378757901,EXECUTE,1543,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
5378757901,EXECUTE,7242,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
5378757901,EXECUTE,516,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
5378757901,EXECUTE,2828,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
