input log file location, qwen_block_custom_qnn/device_output/fused_attention_layer0_decode_past128/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
5804038289,INIT,449853,US,NETRUN,ROOT,null
5804158277,COMPOSE GRAPHS,119431,US,NETRUN,ROOT,null
5804486096,FINALIZE,326644,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_fused_attention
5804486096,FINALIZE,7084,US,BACKEND,ROOT,RPC (finalize) time
5804486096,FINALIZE,5731,US,BACKEND,ROOT,QNN accelerator (finalize) time
5804486096,FINALIZE,5588,US,BACKEND,ROOT,Accelerator (finalize) time
5804486096,FINALIZE,326593,US,BACKEND,ROOT,QNN (finalize) time
5804486096,FINALIZE,228,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
5804486096,FINALIZE,254342,US,BACKEND,SUB-EVENT,Graph Optimizations
5804486096,FINALIZE,2655,US,BACKEND,SUB-EVENT,Post Graph Optimization
5804486096,FINALIZE,15259,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
5804486096,FINALIZE,1954,US,BACKEND,SUB-EVENT,VTCM Allocation
5804486096,FINALIZE,1226,US,BACKEND,SUB-EVENT,Parallelization Optimization
5804486096,FINALIZE,1566,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
5804486096,FINALIZE,73,US,BACKEND,SUB-EVENT,Completion
5804831963,DE-INIT,84520,US,NETRUN,ROOT,null
5804831963,DE-INIT,9909,US,BACKEND,ROOT,RPC (deinit) time
5804831963,DE-INIT,7702,US,BACKEND,ROOT,QNN Accelerator (deinit) time
5804831963,DE-INIT,7559,US,BACKEND,ROOT,Accelerator (deinit) time
5804831963,DE-INIT,84495,US,BACKEND,ROOT,QNN (deinit) time
5804516902,EXECUTE,29610,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_fused_attention
5804516902,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
5804516902,EXECUTE,29284,US,BACKEND,ROOT,RPC (execute) time
5804516902,EXECUTE,27606,US,BACKEND,ROOT,QNN accelerator (execute) time
5804516902,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
5804516902,EXECUTE,784,US,BACKEND,ROOT,Time for initial VTCM acquire
5804516902,EXECUTE,34830,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
5804516902,EXECUTE,15106342,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
5804516902,EXECUTE,12817,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
5804516902,EXECUTE,4037,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
5804516902,EXECUTE,32475,CYCLES,BACKEND,SUB-EVENT,past_value_nchw:OpId_20 (cycles)
5804516902,EXECUTE,13142,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_24 (cycles)
5804516902,EXECUTE,34771,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
5804516902,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
5804516902,EXECUTE,1825,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_34 (cycles)
5804516902,EXECUTE,1685,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_36 (cycles)
5804516902,EXECUTE,3144,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_39 (cycles)
5804516902,EXECUTE,4295,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_41 (cycles)
5804516902,EXECUTE,462,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_43 (cycles)
5804516902,EXECUTE,2506,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
5804516902,EXECUTE,2283,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
5804516902,EXECUTE,30592,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_49 (cycles)
5804516902,EXECUTE,13687,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_55 (cycles)
5804516902,EXECUTE,1930,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_61 (cycles)
5804516902,EXECUTE,1353,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_64 (cycles)
5804516902,EXECUTE,282,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_66 (cycles)
5804516902,EXECUTE,1707,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_68 (cycles)
5804516902,EXECUTE,1494,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_70 (cycles)
5804516902,EXECUTE,2154,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_72 (cycles)
5804516902,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_74 (cycles)
5804516902,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_75 (cycles)
5804516902,EXECUTE,795,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_76 (cycles)
5804516902,EXECUTE,4986,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_78 (cycles)
5804516902,EXECUTE,44843,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_80 (cycles)
5804516902,EXECUTE,8524,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_86 (cycles)
5804516902,EXECUTE,8627,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_91 (cycles)
5804516902,EXECUTE,1680,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_93 (cycles)
5804516902,EXECUTE,719,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_95 (cycles)
5804516902,EXECUTE,1683,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_97 (cycles)
5804516902,EXECUTE,1256,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_99 (cycles)
