step,graph_execute_us,cache_update_us,step_total_us
0,6576,10,6586
1,3832,9,3841
2,3781,23,3804
3,3046,15,3061
4,3231,14,3245
5,2856,13,2869
6,3271,14,3285
7,2921,14,2935
8,3070,14,3084
9,3291,13,3304
10,3193,14,3207
11,4101,13,4114
12,4061,13,4074
13,5022,13,5035
14,4081,13,4094
15,5325,251,5577
16,5204,44,5248
17,5059,42,5101
18,5583,43,5626
19,5071,40,5111
20,4934,43,4978
21,5018,41,5059
22,4942,41,4984
23,5485,41,5527
24,5253,41,5294
25,4975,40,5015
26,4866,40,4906
27,5367,42,5409
28,5061,41,5102
29,5108,43,5151
30,5723,43,5766
31,4926,40,4966
32,4916,40,4957
33,5443,46,5489
34,5020,42,5062
35,4951,41,4993
36,5118,41,5159
37,5588,43,5631
38,4923,42,4965
39,5112,40,5152
40,4913,40,4953
41,5233,42,5275
42,4962,623,5585
43,5020,43,5063
44,4891,40,4931
45,4909,42,4951
46,5630,126,5756
47,5587,49,5636
48,5853,47,5900
49,6443,29,6472
50,3115,199,3314
51,3124,228,3352
52,3062,30,3092
53,3163,30,3193
54,3152,30,3182
55,3023,29,3052
56,3428,32,3460
57,3726,41,3767
58,4912,42,4955
59,4676,43,4720
60,5389,39,5428
61,4904,40,4944
62,4716,40,4756
63,4857,615,5473
64,5236,42,5278
65,4769,39,4808
66,4388,40,4428
67,4080,20,4100
68,4196,33,4229
69,4620,33,4653
70,5602,45,5648
71,5723,46,5769
72,4926,40,4966
73,5251,42,5294
74,5371,41,5412
75,4853,40,4893
76,4836,40,4876
77,4840,40,4880
78,5081,45,5126
79,5395,41,5436
80,4878,39,4918
81,4874,39,4913
82,4897,39,4936
83,7942,44,7986
84,5077,41,5118
85,5130,41,5171
86,5356,41,5397
87,5028,45,5073
88,4939,41,4981
89,4891,39,4931
90,4864,92,4956
91,5115,40,5155
92,4873,42,4915
93,5351,41,5392
94,4920,41,4961
95,4943,42,4986
96,4998,39,5037
97,4859,39,4898
98,5179,41,5221
99,5127,1,5128
