step,graph_execute_us,cache_update_us,step_total_us
0,5187,11,5198
1,3398,11,3409
2,2904,5,2909
3,2963,5,2968
4,3242,17,3259
5,4013,27,4040
6,3114,16,3130
7,2983,13,2996
8,3007,13,3020
9,3387,13,3400
10,3115,14,3129
11,3026,14,3040
12,3069,14,3083
13,4046,13,4059
14,3216,14,3230
15,5076,218,5294
16,5144,39,5184
17,4999,39,5039
18,5627,44,5671
19,4931,44,4975
20,4894,42,4936
21,5646,39,5685
22,5090,40,5131
23,6039,50,6089
24,5018,41,5059
25,5831,45,5876
26,6141,40,6181
27,4993,41,5034
28,5604,39,5643
29,5545,45,5590
30,4963,41,5005
31,4413,38,4451
32,4276,38,4314
33,4547,39,4586
34,4119,38,4157
35,4756,39,4795
36,5142,42,5184
37,5610,42,5652
38,4647,41,4688
39,4085,38,4123
40,4846,41,4887
41,4938,38,4977
42,5085,41,5127
43,4957,41,4999
44,4869,39,4909
45,5599,39,5638
46,5960,41,6001
47,4968,41,5010
48,4856,41,4897
49,5150,39,5190
50,4818,40,4858
51,4900,41,4941
52,5091,38,5130
53,5455,44,5499
54,5689,40,5729
55,5080,40,5120
56,4875,40,4915
57,4867,39,4907
58,5223,39,5263
59,4888,40,4928
60,4881,39,4921
61,5102,43,5146
62,4830,50,4880
63,6302,42,6344
64,4991,40,5032
65,4894,43,4938
66,4885,40,4925
67,5257,42,5300
68,4853,40,4893
69,4862,40,4902
70,4873,888,5761
71,4970,41,5011
72,5557,42,5599
73,5078,39,5118
74,5025,41,5067
75,4876,40,4917
76,4882,41,4923
77,4895,41,4937
78,4858,40,4898
79,4910,39,4950
80,6086,40,6127
81,4965,42,5007
82,5687,41,5728
83,5162,39,5201
84,4920,42,4962
85,4902,41,4943
86,5247,41,5288
87,5019,42,5061
88,5173,41,5214
89,5234,41,5276
90,5108,46,5154
91,5625,40,5665
92,5176,40,5216
93,4937,40,4977
94,4909,41,4950
95,5037,40,5077
96,4857,39,4897
97,4830,40,4870
98,5006,41,5047
99,5850,1,5851
