step,graph_execute_us,cache_update_us,step_total_us
0,6097,16,6113
1,4250,10,4260
2,3104,29,3133
3,2963,14,2977
4,2918,13,2931
5,3030,13,3043
6,3076,14,3090
7,3111,13,3124
8,3060,13,3073
9,3251,12,3264
10,3129,13,3142
11,3092,12,3105
12,4974,250,5224
13,5132,40,5172
14,4939,39,4978
15,5089,39,5128
16,4889,38,4927
17,4917,39,4956
18,5387,38,5426
19,5008,42,5050
20,4981,40,5022
21,5393,41,5435
22,4887,37,4925
23,4924,40,4964
24,4817,38,4855
25,6318,44,6362
26,4913,40,4954
27,5612,39,5652
28,4801,38,4840
29,5172,14,5187
30,5269,76,5345
31,5619,40,5659
32,5002,40,5042
33,4909,39,4948
34,4931,41,4972
35,4826,38,4864
36,5069,38,5108
37,5012,39,5052
38,4857,38,4895
39,4770,38,4809
40,5009,39,5048
41,4827,39,4866
42,5412,40,5453
43,4951,277,5228
44,4861,39,4900
45,6429,46,6475
46,5019,41,5060
47,4918,41,4960
48,4904,40,4944
49,5131,39,5170
50,4908,38,4946
51,4873,38,4911
52,5087,38,5125
53,4827,38,4865
54,5235,40,5275
55,5764,40,5805
56,4866,38,4904
57,4850,38,4888
58,4822,38,4860
59,4974,38,5012
60,5032,38,5071
61,4875,38,4913
62,5026,38,5064
63,5060,37,5098
64,4859,38,4897
65,4942,40,4982
66,4711,39,4750
67,4952,40,4993
68,5293,39,5332
69,4853,38,4892
70,4947,38,4985
71,4999,39,5038
72,4863,38,4902
73,5090,38,5128
74,4807,38,4845
75,4984,39,5023
76,5829,38,5867
77,4900,40,4940
78,4877,42,4920
79,4954,39,4993
80,4883,38,4921
81,5309,40,5350
82,4894,39,4933
83,5475,40,5515
84,4982,46,5028
85,4883,40,4923
86,4653,38,4692
87,4374,40,4414
88,3961,37,3999
89,4099,37,4136
90,4476,38,4514
91,4878,39,4917
92,6293,41,6334
93,5385,39,5424
94,5365,39,5404
95,5343,41,5384
96,5012,41,5053
97,4880,40,4920
98,5027,40,5067
99,4681,1,4682
