step,graph_execute_us,cache_update_us,step_total_us
0,4874,4,4878
1,3499,9,3508
2,4306,17,4323
3,3114,14,3128
4,3010,13,3023
5,3053,13,3066
6,3115,13,3128
7,3078,12,3091
8,3018,14,3032
9,3350,13,3363
10,3078,14,3092
11,3028,13,3042
12,3072,14,3086
13,3063,14,3077
14,3080,15,3095
15,4691,14,4705
16,5310,251,5561
17,5247,42,5289
18,5834,37,5871
19,5184,43,5227
20,4951,40,4991
21,4824,41,4865
22,5020,41,5061
23,4808,40,4848
24,5001,42,5043
25,5482,41,5523
26,4877,38,4916
27,5604,39,5644
28,5041,40,5082
29,4819,41,4860
30,4892,38,4930
31,4856,37,4894
32,5077,38,5115
33,4814,38,4852
34,4870,38,4908
35,6890,43,6933
36,4930,43,4973
37,4860,38,4899
38,4780,38,4818
39,4839,38,4877
40,4789,39,4828
41,5134,38,5173
42,4859,38,4897
43,4878,37,4916
44,5671,40,5711
45,4901,39,4940
46,4902,39,4941
47,4985,42,5027
48,4943,40,4983
49,4398,37,4435
50,4199,37,4236
51,4291,39,4330
52,4212,37,4249
53,4762,38,4800
54,5734,39,5773
55,5388,44,5432
56,5068,48,5116
57,5026,41,5067
58,4864,40,4905
59,4775,38,4813
60,5074,43,5118
61,4847,40,4887
62,4836,39,4875
63,5099,40,5139
64,4811,40,4851
65,4874,39,4913
66,4803,37,4840
67,4994,38,5032
68,4798,37,4835
69,4862,39,4901
70,4987,38,5025
71,4882,37,4919
72,5198,41,5239
73,5344,44,5388
74,4883,38,4921
75,4936,42,4978
76,5105,40,5145
77,4810,38,4848
78,4844,38,4882
79,4813,38,4851
80,5387,40,5427
81,5567,41,5608
82,4902,39,4941
83,5664,39,5703
84,4973,42,5015
85,4853,40,4893
86,5158,41,5199
87,4964,38,5002
88,4796,39,4835
89,5040,38,5079
90,4917,39,4956
91,5466,38,5504
92,5231,46,5277
93,5344,42,5386
94,5035,40,5076
95,5098,50,5149
96,4867,39,4906
97,4931,41,4972
98,5053,40,5093
99,4842,0,4842
