input log file location, qwen_block_custom_qnn/device_output/nchw_value_cache_profile/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
8051253441,INIT,442409,US,NETRUN,ROOT,null
8051399184,COMPOSE GRAPHS,143620,US,NETRUN,ROOT,null
8051698270,FINALIZE,298743,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_nchw_value_cache
8051698270,FINALIZE,6123,US,BACKEND,ROOT,RPC (finalize) time
8051698270,FINALIZE,4514,US,BACKEND,ROOT,QNN accelerator (finalize) time
8051698270,FINALIZE,4400,US,BACKEND,ROOT,Accelerator (finalize) time
8051698270,FINALIZE,298699,US,BACKEND,ROOT,QNN (finalize) time
8051698270,FINALIZE,163,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
8051698270,FINALIZE,237480,US,BACKEND,SUB-EVENT,Graph Optimizations
8051698270,FINALIZE,2048,US,BACKEND,SUB-EVENT,Post Graph Optimization
8051698270,FINALIZE,13048,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
8051698270,FINALIZE,1599,US,BACKEND,SUB-EVENT,VTCM Allocation
8051698270,FINALIZE,1042,US,BACKEND,SUB-EVENT,Parallelization Optimization
8051698270,FINALIZE,1256,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
8051698270,FINALIZE,59,US,BACKEND,SUB-EVENT,Completion
8051928725,DE-INIT,75295,US,NETRUN,ROOT,null
8051928725,DE-INIT,8909,US,BACKEND,ROOT,RPC (deinit) time
8051928725,DE-INIT,7492,US,BACKEND,ROOT,QNN Accelerator (deinit) time
8051928725,DE-INIT,7367,US,BACKEND,ROOT,Accelerator (deinit) time
8051928725,DE-INIT,75269,US,BACKEND,ROOT,QNN (deinit) time
8051719646,EXECUTE,20191,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_nchw_value_cache
8051719646,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
8051719646,EXECUTE,19875,US,BACKEND,ROOT,RPC (execute) time
8051719646,EXECUTE,18028,US,BACKEND,ROOT,QNN accelerator (execute) time
8051719646,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
8051719646,EXECUTE,697,US,BACKEND,ROOT,Time for initial VTCM acquire
8051719646,EXECUTE,34084,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
8051719646,EXECUTE,1219010,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
8051719646,EXECUTE,21874,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
8051719646,EXECUTE,4865,CYCLES,BACKEND,SUB-EVENT,hidden_states_ncf:OpId_17 (cycles)
8051719646,EXECUTE,11727,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_22 (cycles)
8051719646,EXECUTE,45766,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_27 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_29 (cycles)
8051719646,EXECUTE,6857,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_32 (cycles)
8051719646,EXECUTE,5094,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_34 (cycles)
8051719646,EXECUTE,1595,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_37 (cycles)
8051719646,EXECUTE,3297,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_39 (cycles)
8051719646,EXECUTE,563,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_41 (cycles)
8051719646,EXECUTE,3077,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_43 (cycles)
8051719646,EXECUTE,2856,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_45 (cycles)
8051719646,EXECUTE,23350,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_47 (cycles)
8051719646,EXECUTE,4638,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_53 (cycles)
8051719646,EXECUTE,1766,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_59 (cycles)
8051719646,EXECUTE,1669,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_62 (cycles)
8051719646,EXECUTE,228,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_64 (cycles)
8051719646,EXECUTE,1841,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_66 (cycles)
8051719646,EXECUTE,1781,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_68 (cycles)
8051719646,EXECUTE,2304,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_70 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_72 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_73 (cycles)
8051719646,EXECUTE,863,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_74 (cycles)
8051719646,EXECUTE,546,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_76 (cycles)
8051719646,EXECUTE,29826,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_78 (cycles)
8051719646,EXECUTE,5174,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_84 (cycles)
8051719646,EXECUTE,4513,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_89 (cycles)
8051719646,EXECUTE,4414,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_91 (cycles)
8051719646,EXECUTE,545,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_93 (cycles)
8051719646,EXECUTE,4465,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_95 (cycles)
8051719646,EXECUTE,3242,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_97 (cycles)
8051719646,EXECUTE,1233,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_99 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_2:OpId_101 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_3:OpId_102 (cycles)
8051719646,EXECUTE,2654,CYCLES,BACKEND,SUB-EVENT,_Concat_2:OpId_103 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_105 (cycles)
8051719646,EXECUTE,938,CYCLES,BACKEND,SUB-EVENT,current_key_nhwc:OpId_107 (cycles)
8051719646,EXECUTE,3461,CYCLES,BACKEND,SUB-EVENT,_Concat_4:OpId_108 (cycles)
8051719646,EXECUTE,348184,CYCLES,BACKEND,SUB-EVENT,_Concat_4_output_0_nchw:OpId_111 (cycles)
8051719646,EXECUTE,6681,CYCLES,BACKEND,SUB-EVENT,_Concat_5:OpId_112 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_4:OpId_114 (cycles)
8051719646,EXECUTE,31567,CYCLES,BACKEND,SUB-EVENT,_MatMul_3:OpId_115 (cycles)
8051719646,EXECUTE,5718,CYCLES,BACKEND,SUB-EVENT,_Div_1:OpId_120 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Add_6:OpId_123 (cycles)
8051719646,EXECUTE,20730,CYCLES,BACKEND,SUB-EVENT,_Softmax:OpId_125 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_5:OpId_128 (cycles)
8051719646,EXECUTE,40310,CYCLES,BACKEND,SUB-EVENT,_MatMul_4:OpId_129 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_6:OpId_133 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Transpose_4:OpId_135 (cycles)
8051719646,EXECUTE,12606,CYCLES,BACKEND,SUB-EVENT,_MatMul_5:OpId_137 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_post_reshape:OpId_140 (cycles)
8051719646,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_output_0_nfc:OpId_142 (cycles)
8051719646,EXECUTE,62697,CYCLES,BACKEND,SUB-EVENT,_Add_7:OpId_144 (cycles)
