input log file location, qwen_block_custom_qnn/device_output/old_value_cache_profile_same_window/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
8071678252,INIT,443058,US,NETRUN,ROOT,null
8071837352,COMPOSE GRAPHS,156959,US,NETRUN,ROOT,null
8072123656,FINALIZE,285966,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa_delta_kv
8072123656,FINALIZE,6088,US,BACKEND,ROOT,RPC (finalize) time
8072123656,FINALIZE,4794,US,BACKEND,ROOT,QNN accelerator (finalize) time
8072123656,FINALIZE,4682,US,BACKEND,ROOT,Accelerator (finalize) time
8072123656,FINALIZE,285931,US,BACKEND,ROOT,QNN (finalize) time
8072123656,FINALIZE,161,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
8072123656,FINALIZE,229997,US,BACKEND,SUB-EVENT,Graph Optimizations
8072123656,FINALIZE,2017,US,BACKEND,SUB-EVENT,Post Graph Optimization
8072123656,FINALIZE,12252,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
8072123656,FINALIZE,1513,US,BACKEND,SUB-EVENT,VTCM Allocation
8072123656,FINALIZE,983,US,BACKEND,SUB-EVENT,Parallelization Optimization
8072123656,FINALIZE,1414,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
8072123656,FINALIZE,55,US,BACKEND,SUB-EVENT,Completion
8072334130,DE-INIT,67756,US,NETRUN,ROOT,null
8072334130,DE-INIT,9034,US,BACKEND,ROOT,RPC (deinit) time
8072334130,DE-INIT,7691,US,BACKEND,ROOT,QNN Accelerator (deinit) time
8072334130,DE-INIT,7562,US,BACKEND,ROOT,Accelerator (deinit) time
8072334130,DE-INIT,67736,US,BACKEND,ROOT,QNN (deinit) time
8072143542,EXECUTE,19134,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_decode_past128_grouped_gqa_delta_kv
8072143542,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
8072143542,EXECUTE,18928,US,BACKEND,ROOT,RPC (execute) time
8072143542,EXECUTE,17062,US,BACKEND,ROOT,QNN accelerator (execute) time
8072143542,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
8072143542,EXECUTE,721,US,BACKEND,ROOT,Time for initial VTCM acquire
8072143542,EXECUTE,33031,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
8072143542,EXECUTE,1190341,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
8072143542,EXECUTE,19658,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
