step,graph_execute_us,cache_update_us,step_total_us
0,6216,13,6229
1,2993,6,2999
2,3077,13,3090
3,3040,12,3053
4,3017,13,3030
5,3279,150,3429
6,3182,32,3214
7,3116,32,3149
8,3143,31,3174
9,3051,31,3082
10,3326,33,3359
11,3275,30,3305
12,3153,32,3185
13,3030,32,3062
14,4595,37,4632
15,4887,34,4921
16,7412,56,7469
17,4927,34,4961
18,4987,596,5583
19,4979,39,5018
20,4956,39,4996
21,6630,43,6673
22,5000,37,5037
23,5331,38,5369
24,5045,34,5079
25,4808,33,4841
26,4972,33,5005
27,4810,32,4842
28,4855,33,4888
29,5000,33,5033
30,5012,37,5049
31,5682,35,5718
32,5071,33,5104
33,4878,34,4912
34,5190,38,5229
35,5108,38,5146
36,4912,36,4948
37,5073,34,5107
38,4813,33,4847
39,4865,34,4899
40,5217,33,5250
41,5558,32,5590
42,5435,35,5470
43,5084,34,5119
44,4798,31,4829
45,4947,40,4987
46,5235,38,5273
47,4902,31,4934
48,5031,33,5064
49,5440,32,5472
50,5007,39,5046
51,5657,35,5692
52,5113,32,5145
53,4889,32,4921
54,5050,51,5101
55,6155,50,6205
56,4974,40,5014
57,4985,42,5027
58,5499,40,5539
59,4897,34,4931
60,5411,34,5445
61,5788,33,5821
62,5552,39,5591
63,5000,42,5042
64,5097,34,5131
65,4860,32,4892
66,5186,34,5220
67,6364,40,6404
68,4913,37,4950
69,4916,34,4950
70,5387,33,5420
71,5536,32,5568
72,5026,33,5059
73,4813,2395,7208
74,6893,33,6926
75,4849,35,4884
76,5186,33,5220
77,5014,33,5047
78,4930,33,4963
79,5056,38,5094
80,5892,32,5924
81,5609,31,5640
82,4988,33,5021
83,5026,31,5058
84,4863,32,4895
85,5008,31,5040
86,4890,38,4928
87,4890,38,4928
88,5037,32,5069
89,4801,32,4833
90,5399,32,5431
91,12929,52,12982
92,5141,25,5166
93,4827,39,4866
94,4916,37,4953
95,4877,35,4912
96,5090,34,5125
97,4963,38,5002
98,4950,37,4987
99,5059,0,5059
