step,graph_execute_us
0,5402
1,4337
2,4340
3,4385
4,4447
5,4551
6,3040
7,3061
8,3962
9,4040
10,5631
11,4829
12,5540
13,4686
14,4848
15,6790
16,4996
17,4877
18,4908
19,5436
20,5695
21,5170
22,5090
23,4914
24,5311
25,4949
26,4993
27,4968
28,4912
29,4981
30,5641
31,4894
32,4897
33,6262
34,5021
35,4923
36,5312
37,4977
38,4719
39,5288
40,5591
41,4872
42,5319
43,4889
44,4854
45,4966
46,5109
47,6804
48,5230
49,5002
50,5618
51,5188
52,4994
53,4962
54,6215
55,5066
56,5305
57,5220
58,4942
59,4959
60,5810
61,4851
62,4901
63,4944
64,5325
65,6134
66,5525
67,5110
68,5107
69,5360
70,5656
71,4925
72,5170
73,4959
74,4956
75,5081
76,5038
77,4898
78,4902
79,5129
80,5561
81,4895
82,5464
83,4934
84,5051
85,5122
86,5298
87,5015
88,5211
89,4989
90,6960
91,4914
92,5096
93,4914
94,4626
95,4141
96,4200
97,4113
98,4227
99,4360
