step,graph_execute_us,cache_update_us,step_total_us
0,5895,8,5903
1,4440,11,4451
2,3417,11,3428
3,4318,12,4330
4,4369,15,4384
5,3051,6,3057
6,4589,30,4619
7,3147,13,3160
8,3062,13,3075
9,3043,13,3056
10,3083,13,3096
11,3378,13,3391
12,3049,14,3063
13,3042,13,3055
14,4727,13,4741
15,5808,226,6034
16,5406,42,5449
17,5073,35,5109
18,4861,36,4897
19,4892,37,4929
20,4913,35,4948
21,5210,43,5253
22,5710,42,5752
23,4912,43,4955
24,5016,37,5053
25,4959,37,4997
26,4924,38,4962
27,5318,44,5362
28,4958,39,4998
29,5313,42,5355
30,5139,39,5179
31,4908,36,4944
32,5683,38,5721
33,4993,39,5032
34,4893,38,4932
35,4911,35,4946
36,5312,42,5354
37,5165,45,5210
38,4946,44,4990
39,5083,41,5124
40,4898,40,4938
41,5794,19,5813
42,5765,46,5811
43,5042,36,5078
44,4854,35,4890
45,5199,36,5236
46,4873,35,4909
47,4906,36,4942
48,4849,35,4885
49,4962,38,5000
50,5016,37,5053
51,5125,38,5163
52,5829,39,5868
53,4874,37,4912
54,4854,36,4890
55,5101,36,5137
56,4915,35,4951
57,4923,35,4959
58,4905,36,4942
59,4831,38,4869
60,4978,37,5015
61,5233,42,5275
62,5059,40,5099
63,5566,37,5603
64,5056,39,5095
65,5244,36,5281
66,4866,38,4904
67,5083,36,5119
68,4938,36,4974
69,4858,36,4894
70,4884,35,4919
71,4932,38,4970
72,4927,36,4963
73,5022,36,5058
74,5578,42,5620
75,4968,35,5004
76,4868,35,4903
77,5145,37,5182
78,4874,36,4911
79,4827,35,4863
80,5980,47,6028
81,5386,45,5432
82,4634,40,4675
83,4594,37,4631
84,3688,36,3724
85,4171,36,4207
86,4927,36,4963
87,4948,36,4984
88,5010,37,5048
89,4898,36,4934
90,5144,36,5180
91,4915,36,4951
92,4846,36,4882
93,5339,36,5375
94,4948,36,4984
95,5029,41,5070
96,6547,37,6584
97,5542,36,5578
98,4967,36,5003
99,5220,0,5220
