step,graph_execute_us,cache_update_us,step_total_us
0,6445,9,6454
1,2928,3,2931
2,2726,3,2729
3,3533,10,3543
4,4343,17,4360
5,2980,13,2993
6,3183,16,3199
7,2991,13,3004
8,3053,12,3065
9,3063,13,3076
10,3064,13,3077
11,3150,12,3162
12,3277,13,3290
13,3104,12,3116
14,3902,13,3915
15,4550,13,4563
16,4744,13,4757
17,5651,691,6343
18,5203,42,5245
19,5098,36,5135
20,5279,41,5321
21,5001,37,5038
22,4920,36,4956
23,8735,40,8775
24,5163,36,5200
25,5508,41,5549
26,4879,36,4915
27,4843,37,4880
28,5319,42,5361
29,4876,38,4914
30,4909,37,4947
31,4876,1057,5933
32,4978,38,5016
33,4898,36,4934
34,5803,35,5838
35,4907,35,4942
36,4855,37,4892
37,4841,35,4877
38,4895,36,4931
39,4868,35,4903
40,4874,35,4909
41,5254,40,5294
42,4954,44,4998
43,4912,36,4949
44,4899,36,4936
45,5540,36,5576
46,4877,38,4915
47,5019,36,5056
48,4891,38,4929
49,5244,36,5280
50,5242,38,5280
51,4935,37,4972
52,4829,35,4864
53,5337,37,5375
54,4862,37,4899
55,4719,36,4755
56,4855,36,4892
57,4118,35,4153
58,4132,39,4171
59,4157,37,4194
60,5055,35,5090
61,4831,35,4866
62,5832,48,5880
63,5262,38,5300
64,5042,45,5088
65,4942,42,4984
66,5353,40,5394
67,5125,37,5162
68,5115,42,5157
69,6750,39,6789
70,4916,36,4952
71,4851,283,5134
72,5120,38,5158
73,4955,39,4994
74,4925,37,4963
75,5058,38,5096
76,5053,21,5074
77,5485,74,5560
78,5364,41,5405
79,5537,39,5576
80,4936,45,4981
81,5093,39,5133
82,4934,36,4970
83,4885,39,4924
84,4918,35,4954
85,5041,35,5076
86,4879,36,4915
87,5039,44,5083
88,5360,37,5398
89,4901,36,4937
90,5570,37,5608
91,5088,37,5125
92,4850,35,4885
93,4841,39,4880
94,5026,37,5063
95,4837,36,4873
96,5660,41,5702
97,5342,49,5391
98,4924,44,4968
99,5148,1,5149
