step,graph_execute_us,cache_update_us,step_total_us
0,5798,9,5807
1,2950,3,2953
2,2654,3,2657
3,3755,19,3774
4,3112,13,3125
5,3037,12,3049
6,3013,13,3026
7,3096,12,3108
8,3121,13,3134
9,3143,13,3156
10,2980,12,2992
11,3295,13,3308
12,3016,13,3029
13,3100,12,3112
14,3835,12,3848
15,3186,12,3199
16,4317,13,4330
17,5710,165,5875
18,5090,38,5128
19,5238,37,5275
20,4978,39,5017
21,5388,38,5426
22,4889,37,4927
23,5206,37,5243
24,4894,36,4930
25,4880,35,4916
26,4872,36,4908
27,4866,38,4904
28,6523,274,6797
29,5437,20,5457
30,5491,143,5634
31,5555,40,5595
32,5187,37,5224
33,4883,35,4918
34,4916,35,4951
35,5093,38,5131
36,4869,36,4905
37,4885,36,4921
38,4927,35,4962
39,5830,45,5875
40,4963,37,5000
41,6259,40,6299
42,4881,37,4918
43,5118,41,5159
44,6265,38,6303
45,4929,35,4964
46,5059,46,5105
47,5339,41,5380
48,4917,36,4953
49,4954,37,4991
50,5031,36,5067
51,5380,37,5417
52,4971,36,5007
53,4835,36,4871
54,5356,36,5392
55,4855,35,4890
56,4968,35,5003
57,5096,35,5131
58,4860,36,4896
59,4899,35,4934
60,5633,49,5683
61,5738,44,5782
62,5089,40,5129
63,4954,39,4993
64,4986,36,5022
65,5020,37,5058
66,5515,38,5553
67,4961,42,5004
68,5011,41,5052
69,5027,42,5069
70,4919,36,4955
71,4866,36,4902
72,5839,36,5876
73,4899,36,4935
74,4888,37,4925
75,5134,37,5172
76,4918,36,4954
77,4858,42,4900
78,4912,37,4949
79,4929,38,4967
80,4944,35,4979
81,4892,35,4928
82,5160,35,5196
83,5561,36,5597
84,4917,36,4953
85,5090,36,5127
86,4928,44,4972
87,4956,41,4997
88,4960,38,4998
89,4981,39,5020
90,4975,36,5011
91,5196,37,5233
92,4931,36,4967
93,5582,36,5618
94,4875,38,4913
95,5002,37,5040
96,4868,35,4903
97,5396,40,5436
98,5083,37,5120
99,4622,0,4622
