step,graph_execute_us,cache_update_us,step_total_us
0,5723,10,5733
1,4305,10,4315
2,2879,5,2884
3,2619,5,2624
4,4195,16,4211
5,4325,20,4345
6,3101,15,3116
7,3112,14,3126
8,4408,13,4421
9,2925,15,2940
10,3060,14,3074
11,3081,14,3095
12,3246,14,3260
13,2911,14,2925
14,4269,340,4609
15,5159,40,5199
16,5022,41,5063
17,5747,41,5788
18,4835,40,4876
19,4860,40,4900
20,5310,43,5353
21,4835,40,4875
22,4799,38,4837
23,5987,49,6036
24,5274,43,5317
25,4983,40,5024
26,5663,45,5708
27,4875,40,4915
28,4841,39,4880
29,5093,37,5130
30,4900,38,4938
31,5190,42,5232
32,6988,39,7027
33,4925,41,4966
34,4896,38,4934
35,5367,41,5408
36,4883,38,4922
37,4799,38,4838
38,4948,39,4987
39,5586,42,5629
40,4836,40,4876
41,4873,38,4911
42,5307,39,5347
43,4917,39,4956
44,5432,38,5470
45,4984,38,5022
46,4908,40,4948
47,4971,41,5012
48,5124,39,5163
49,4891,38,4929
50,4828,41,4869
51,6846,20,6866
52,5442,96,5538
53,5608,42,5650
54,5131,41,5172
55,4856,38,4894
56,4815,38,4853
57,4820,38,4858
58,4996,40,5036
59,4866,39,4905
60,5049,39,5088
61,4915,38,4953
62,5213,38,5251
63,5259,41,5300
64,4909,38,4947
65,4808,38,4847
66,4998,39,5037
67,4782,39,4821
68,4819,38,4857
69,4512,37,4549
70,4454,46,4500
71,4667,40,4708
72,4686,39,4725
73,5022,39,5061
74,4846,39,4886
75,4855,39,4894
76,5376,42,5418
77,4817,424,5241
78,4888,39,4927
79,5084,38,5123
80,5391,38,5429
81,4873,39,4912
82,4851,39,4890
83,5245,45,5290
84,4799,40,4839
85,4810,38,4848
86,5439,38,5477
87,4953,40,4993
88,4841,38,4880
89,5058,38,5096
90,5428,39,5468
91,5017,48,5065
92,4872,42,4914
93,4921,43,4965
94,5303,39,5342
95,5300,40,5340
96,4843,39,4882
97,4777,38,4815
98,5301,39,5340
99,4810,1,4811
