step,graph_execute_us,cache_update_us,step_total_us
0,6136,14,6150
1,4047,19,4066
2,4040,29,4069
3,3040,14,3054
4,3010,12,3022
5,3043,13,3056
6,3007,12,3020
7,3116,13,3129
8,4036,13,4049
9,4042,13,4055
10,2945,12,2957
11,3084,12,3096
12,4711,12,4723
13,4879,22,4901
14,4822,15,4837
15,5637,169,5806
16,5413,42,5456
17,5154,50,5204
18,5549,48,5597
19,4924,43,4968
20,4847,41,4888
21,5764,46,5810
22,5280,44,5324
23,4886,45,4931
24,4946,44,4990
25,4930,44,4974
26,4869,42,4911
27,5600,40,5640
28,4877,41,4918
29,4878,41,5497
30,5172,41,5214
31,4903,45,4948
32,5043,40,5083
33,5106,44,5150
34,4916,39,4955
35,4859,38,4897
36,5357,39,5397
37,4845,41,4887
38,4784,39,4824
39,4891,39,4931
40,5198,40,5238
41,4823,39,4862
42,4872,39,4912
43,5006,40,5046
44,5127,38,5166
45,4786,38,4824
46,5055,38,5093
47,4849,38,4887
48,4907,42,4949
49,5129,41,5170
50,4906,38,4944
51,5808,42,5850
52,5028,41,5070
53,5317,45,5362
54,4877,40,4917
55,5137,40,5178
56,4803,38,4841
57,4804,39,4843
58,4813,38,4852
59,5416,44,5460
60,5133,43,5176
61,4644,39,4684
62,5870,41,5911
63,4896,40,4936
64,4898,40,4938
65,4889,41,4930
66,4871,40,4912
67,4791,40,4831
68,5082,41,5123
69,4857,38,4896
70,4805,38,4843
71,4915,44,4959
72,5419,42,5461
73,4851,40,4891
74,5295,42,5337
75,4869,38,4908
76,4837,37,4875
77,4859,37,4896
78,7753,46,7799
79,5069,48,5118
80,4798,40,4838
81,4948,47,4995
82,5160,48,5208
83,4901,27,4929
84,4790,39,4829
85,4814,35,4849
86,4744,32,4776
87,5128,42,5170
88,4843,40,4883
89,4827,40,4868
90,5015,43,5058
91,5179,42,5221
92,4909,42,4952
93,7046,49,7095
94,5327,48,5375
95,4859,40,4899
96,5968,43,6011
97,4957,42,4999
98,4850,39,4889
99,5032,1,5033
