step,graph_execute_us,cache_update_us,step_total_us
0,6280,10,6290
1,4401,15,4417
2,3880,27,3907
3,3030,13,3044
4,3031,13,3044
5,3688,13,3701
6,2857,13,2870
7,2991,13,3004
8,4832,16,4848
9,4927,14,4941
10,5417,14,5431
11,4771,14,4785
12,4964,16,4980
13,5154,171,5325
14,5060,40,5100
15,4921,42,4963
16,5180,56,5236
17,4887,45,4932
18,4840,40,4880
19,5319,41,5360
20,4919,43,4962
21,4978,43,5021
22,4823,37,4861
23,4813,42,4855
24,4817,42,4859
25,4898,39,4937
26,5225,41,5267
27,4846,40,4886
28,4827,38,4866
29,5347,40,5387
30,4845,40,4885
31,4813,39,4852
32,4975,49,5024
33,5336,38,5375
34,4951,39,4991
35,6939,20,6959
36,5306,44,5351
37,4956,45,5001
38,5514,41,5555
39,4862,39,4902
40,5732,49,5781
41,4915,40,4955
42,4933,39,4972
43,5190,44,5235
44,5311,40,5351
45,4930,38,4968
46,4869,38,4907
47,5224,46,5270
48,4879,41,4920
49,4772,39,4811
50,5166,44,5210
51,4892,39,4931
52,4811,40,4852
53,4911,39,4950
54,5059,38,5097
55,5046,411,5457
56,5346,41,5388
57,4817,40,4857
58,4853,41,4894
59,4835,38,4873
60,5231,40,5271
61,4853,40,4893
62,4832,39,4871
63,5092,41,5133
64,4884,38,4922
65,5156,37,5194
66,5039,38,5078
67,4887,47,4934
68,4890,39,4929
69,5093,39,5132
70,4922,38,4961
71,4831,38,4869
72,4844,38,4882
73,5241,38,5280
74,6273,55,6328
75,4905,46,4951
76,4922,47,4969
77,4794,38,4833
78,4842,38,4880
79,4878,41,4919
80,5333,50,5384
81,4956,41,4997
82,4943,47,4991
83,6638,39,6678
84,5011,36,5047
85,4745,41,4786
86,4313,41,4354
87,4948,43,4991
88,5059,38,5097
89,4924,39,4963
90,4851,37,4889
91,5939,39,5978
92,5305,38,5344
93,4805,37,4843
94,5602,41,5643
95,4844,40,4884
96,4821,37,4859
97,5281,41,5322
98,4883,37,4921
99,4896,1,4897
