input log file location, qwen_block_custom_qnn/device_output/q_proj_custom_multithread_4row_layer0_prefill_seq16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
3626479755,INIT,495254,US,NETRUN,ROOT,null
3626561718,COMPOSE GRAPHS,80204,US,NETRUN,ROOT,null
3626972102,FINALIZE,409981,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
3626972102,FINALIZE,9859,US,BACKEND,ROOT,RPC (finalize) time
3626972102,FINALIZE,8186,US,BACKEND,ROOT,QNN accelerator (finalize) time
3626972102,FINALIZE,8041,US,BACKEND,ROOT,Accelerator (finalize) time
3626972102,FINALIZE,409939,US,BACKEND,ROOT,QNN (finalize) time
3626972102,FINALIZE,189,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
3626972102,FINALIZE,301459,US,BACKEND,SUB-EVENT,Graph Optimizations
3626972102,FINALIZE,4264,US,BACKEND,SUB-EVENT,Post Graph Optimization
3626972102,FINALIZE,23048,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
3626972102,FINALIZE,5551,US,BACKEND,SUB-EVENT,VTCM Allocation
3626972102,FINALIZE,2119,US,BACKEND,SUB-EVENT,Parallelization Optimization
3626972102,FINALIZE,2842,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
3626972102,FINALIZE,118,US,BACKEND,SUB-EVENT,Completion
3627362105,DE-INIT,57413,US,NETRUN,ROOT,null
3627362105,DE-INIT,11066,US,BACKEND,ROOT,RPC (deinit) time
3627362105,DE-INIT,8717,US,BACKEND,ROOT,QNN Accelerator (deinit) time
3627362105,DE-INIT,8561,US,BACKEND,ROOT,Accelerator (deinit) time
3627362105,DE-INIT,56892,US,BACKEND,ROOT,QNN (deinit) time
3626997120,EXECUTE,24463,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
3626997120,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
3626997120,EXECUTE,23884,US,BACKEND,ROOT,RPC (execute) time
