input log file location, qwen_block_custom_qnn/device_output/q_proj_custom_multithread_tile_cache_layer0_prefill_seq16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
3505160736,INIT,471238,US,NETRUN,ROOT,null
3505246585,COMPOSE GRAPHS,85210,US,NETRUN,ROOT,null
3505628190,FINALIZE,380856,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
3505628190,FINALIZE,6823,US,BACKEND,ROOT,RPC (finalize) time
3505628190,FINALIZE,6382,US,BACKEND,ROOT,QNN accelerator (finalize) time
3505628190,FINALIZE,6250,US,BACKEND,ROOT,Accelerator (finalize) time
3505628190,FINALIZE,380809,US,BACKEND,ROOT,QNN (finalize) time
3505628190,FINALIZE,206,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
3505628190,FINALIZE,279227,US,BACKEND,SUB-EVENT,Graph Optimizations
3505628190,FINALIZE,4198,US,BACKEND,SUB-EVENT,Post Graph Optimization
3505628190,FINALIZE,27783,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
3505628190,FINALIZE,6305,US,BACKEND,SUB-EVENT,VTCM Allocation
3505628190,FINALIZE,2478,US,BACKEND,SUB-EVENT,Parallelization Optimization
3505628190,FINALIZE,3164,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
3505628190,FINALIZE,121,US,BACKEND,SUB-EVENT,Completion
3505982295,DE-INIT,82422,US,NETRUN,ROOT,null
3505982295,DE-INIT,11224,US,BACKEND,ROOT,RPC (deinit) time
3505982295,DE-INIT,8778,US,BACKEND,ROOT,QNN Accelerator (deinit) time
3505982295,DE-INIT,8626,US,BACKEND,ROOT,Accelerator (deinit) time
3505982295,DE-INIT,82093,US,BACKEND,ROOT,QNN (deinit) time
3505656809,EXECUTE,23918,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
3505656809,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
3505656809,EXECUTE,23683,US,BACKEND,ROOT,RPC (execute) time
3505656809,EXECUTE,22572,US,BACKEND,ROOT,QNN accelerator (execute) time
3505656809,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
3505656809,EXECUTE,2948,US,BACKEND,ROOT,Time for initial VTCM acquire
3505656809,EXECUTE,40804,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
3505656809,EXECUTE,2081570,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
