input log file location, qwen_block_custom_qnn/device_output/q_proj_device_q13_4x128_layer0_prefill_seq16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1430042537,INIT,453202,US,NETRUN,ROOT,null
1430148090,COMPOSE GRAPHS,103532,US,NETRUN,ROOT,null
1430492694,FINALIZE,344317,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
1430492694,FINALIZE,7295,US,BACKEND,ROOT,RPC (finalize) time
1430492694,FINALIZE,5324,US,BACKEND,ROOT,QNN accelerator (finalize) time
1430492694,FINALIZE,5183,US,BACKEND,ROOT,Accelerator (finalize) time
1430492694,FINALIZE,344265,US,BACKEND,ROOT,QNN (finalize) time
1430492694,FINALIZE,246,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
1430492694,FINALIZE,248168,US,BACKEND,SUB-EVENT,Graph Optimizations
1430492694,FINALIZE,3632,US,BACKEND,SUB-EVENT,Post Graph Optimization
1430492694,FINALIZE,19662,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
1430492694,FINALIZE,4530,US,BACKEND,SUB-EVENT,VTCM Allocation
1430492694,FINALIZE,1944,US,BACKEND,SUB-EVENT,Parallelization Optimization
1430492694,FINALIZE,2377,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
1430492694,FINALIZE,83,US,BACKEND,SUB-EVENT,Completion
1430739489,DE-INIT,49168,US,NETRUN,ROOT,null
1430739489,DE-INIT,10724,US,BACKEND,ROOT,RPC (deinit) time
1430739489,DE-INIT,8267,US,BACKEND,ROOT,QNN Accelerator (deinit) time
1430739489,DE-INIT,8103,US,BACKEND,ROOT,Accelerator (deinit) time
1430739489,DE-INIT,49153,US,BACKEND,ROOT,QNN (deinit) time
1430515994,EXECUTE,22595,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
1430515994,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
1430515994,EXECUTE,22135,US,BACKEND,ROOT,RPC (execute) time
1430515994,EXECUTE,19961,US,BACKEND,ROOT,QNN accelerator (execute) time
1430515994,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
1430515994,EXECUTE,762,US,BACKEND,ROOT,Time for initial VTCM acquire
1430515994,EXECUTE,34147,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
1430515994,EXECUTE,1782034,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
1430515994,EXECUTE,4188,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
1430515994,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
