input log file location, qwen_block_custom_qnn/device_output/q_proj_device_q13_4x128_slim_layer0_prefill_seq16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1973541719,INIT,458137,US,NETRUN,ROOT,null
1973631520,COMPOSE GRAPHS,88504,US,NETRUN,ROOT,null
1973995619,FINALIZE,363805,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
1973995619,FINALIZE,6353,US,BACKEND,ROOT,RPC (finalize) time
1973995619,FINALIZE,5207,US,BACKEND,ROOT,QNN accelerator (finalize) time
1973995619,FINALIZE,5087,US,BACKEND,ROOT,Accelerator (finalize) time
1973995619,FINALIZE,363756,US,BACKEND,ROOT,QNN (finalize) time
1973995619,FINALIZE,163,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
1973995619,FINALIZE,267219,US,BACKEND,SUB-EVENT,Graph Optimizations
1973995619,FINALIZE,3774,US,BACKEND,SUB-EVENT,Post Graph Optimization
1973995619,FINALIZE,19735,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
1973995619,FINALIZE,4582,US,BACKEND,SUB-EVENT,VTCM Allocation
1973995619,FINALIZE,1942,US,BACKEND,SUB-EVENT,Parallelization Optimization
1973995619,FINALIZE,2408,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
1973995619,FINALIZE,85,US,BACKEND,SUB-EVENT,Completion
1974243763,DE-INIT,49583,US,NETRUN,ROOT,null
1974243763,DE-INIT,9663,US,BACKEND,ROOT,RPC (deinit) time
1974243763,DE-INIT,8213,US,BACKEND,ROOT,QNN Accelerator (deinit) time
1974243763,DE-INIT,8057,US,BACKEND,ROOT,Accelerator (deinit) time
1974243763,DE-INIT,49569,US,BACKEND,ROOT,QNN (deinit) time
1974018839,EXECUTE,22581,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
1974018839,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
1974018839,EXECUTE,22112,US,BACKEND,ROOT,RPC (execute) time
1974018839,EXECUTE,20291,US,BACKEND,ROOT,QNN accelerator (execute) time
1974018839,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
1974018839,EXECUTE,735,US,BACKEND,ROOT,Time for initial VTCM acquire
1974018839,EXECUTE,34354,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
1974018839,EXECUTE,1875495,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
1974018839,EXECUTE,6200,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
1974018839,EXECUTE,115784,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_22 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
1974018839,EXECUTE,14402,CYCLES,BACKEND,SUB-EVENT,OpId_28 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_reshape:OpId_30 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_cast_fp16:OpId_31 (cycles)
1974018839,EXECUTE,573903,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_32 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_custom_output_reshape:OpId_33 (cycles)
1974018839,EXECUTE,109452,CYCLES,BACKEND,SUB-EVENT,_MatMul_bias_add:OpId_34 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_36 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_39 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_41 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_44 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_46 (cycles)
1974018839,EXECUTE,30185,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_48 (cycles)
1974018839,EXECUTE,5761,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_50 (cycles)
1974018839,EXECUTE,11306,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_52 (cycles)
1974018839,EXECUTE,22749,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_54 (cycles)
1974018839,EXECUTE,7653,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_60 (cycles)
1974018839,EXECUTE,5570,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_66 (cycles)
1974018839,EXECUTE,4674,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_69 (cycles)
1974018839,EXECUTE,904,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_71 (cycles)
1974018839,EXECUTE,5395,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_73 (cycles)
1974018839,EXECUTE,4635,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_75 (cycles)
1974018839,EXECUTE,736,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_77 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_79 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_80 (cycles)
1974018839,EXECUTE,3766,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_81 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_83 (cycles)
1974018839,EXECUTE,33368,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_85 (cycles)
1974018839,EXECUTE,5145,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_91 (cycles)
1974018839,EXECUTE,4285,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_96 (cycles)
1974018839,EXECUTE,1829,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_98 (cycles)
1974018839,EXECUTE,991,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_100 (cycles)
1974018839,EXECUTE,4257,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_102 (cycles)
1974018839,EXECUTE,1892,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_104 (cycles)
1974018839,EXECUTE,995,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_106 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_2:OpId_108 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_3:OpId_109 (cycles)
1974018839,EXECUTE,2694,CYCLES,BACKEND,SUB-EVENT,_Concat_2:OpId_110 (cycles)
1974018839,EXECUTE,1975,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_112 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_4:OpId_113 (cycles)
1974018839,EXECUTE,2187,CYCLES,BACKEND,SUB-EVENT,_Tile:OpId_115 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_5:OpId_116 (cycles)
1974018839,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_5:OpId_117 (cycles)
