input log file location, qwen_block_custom_qnn/device_output/q_proj_device_q13_4x128_unroll2_layer0_prefill_seq16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
1813389974,INIT,451125,US,NETRUN,ROOT,null
1813492957,COMPOSE GRAPHS,101453,US,NETRUN,ROOT,null
1813836474,FINALIZE,343067,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
1813836474,FINALIZE,7654,US,BACKEND,ROOT,RPC (finalize) time
1813836474,FINALIZE,5805,US,BACKEND,ROOT,QNN accelerator (finalize) time
1813836474,FINALIZE,5647,US,BACKEND,ROOT,Accelerator (finalize) time
1813836474,FINALIZE,343019,US,BACKEND,ROOT,QNN (finalize) time
1813836474,FINALIZE,163,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
1813836474,FINALIZE,247321,US,BACKEND,SUB-EVENT,Graph Optimizations
1813836474,FINALIZE,3691,US,BACKEND,SUB-EVENT,Post Graph Optimization
1813836474,FINALIZE,19829,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
1813836474,FINALIZE,4575,US,BACKEND,SUB-EVENT,VTCM Allocation
1813836474,FINALIZE,1882,US,BACKEND,SUB-EVENT,Parallelization Optimization
1813836474,FINALIZE,2323,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
1813836474,FINALIZE,87,US,BACKEND,SUB-EVENT,Completion
1814083478,DE-INIT,46395,US,NETRUN,ROOT,null
1814083478,DE-INIT,10795,US,BACKEND,ROOT,RPC (deinit) time
1814083478,DE-INIT,8471,US,BACKEND,ROOT,QNN Accelerator (deinit) time
1814083478,DE-INIT,8302,US,BACKEND,ROOT,Accelerator (deinit) time
1814083478,DE-INIT,46378,US,BACKEND,ROOT,QNN (deinit) time
1813863660,EXECUTE,26228,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
1813863660,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
1813863660,EXECUTE,25767,US,BACKEND,ROOT,RPC (execute) time
1813863660,EXECUTE,20531,US,BACKEND,ROOT,QNN accelerator (execute) time
1813863660,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
1813863660,EXECUTE,714,US,BACKEND,ROOT,Time for initial VTCM acquire
1813863660,EXECUTE,34448,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
1813863660,EXECUTE,1865838,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
1813863660,EXECUTE,4695,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
1813863660,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
1813863660,EXECUTE,68697,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_22 (cycles)
1813863660,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
1813863660,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
1813863660,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
1813863660,EXECUTE,31625,CYCLES,BACKEND,SUB-EVENT,OpId_28 (cycles)
