input log file location, qwen_block_custom_qnn/device_output/q_proj_device_q13_layer0_prefill_seq16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
807269570,INIT,441203,US,NETRUN,ROOT,null
807360978,COMPOSE GRAPHS,89989,US,NETRUN,ROOT,null
807705985,FINALIZE,344688,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
807705985,FINALIZE,7981,US,BACKEND,ROOT,RPC (finalize) time
807705985,FINALIZE,6125,US,BACKEND,ROOT,QNN accelerator (finalize) time
807705985,FINALIZE,5962,US,BACKEND,ROOT,Accelerator (finalize) time
807705985,FINALIZE,344639,US,BACKEND,ROOT,QNN (finalize) time
807705985,FINALIZE,150,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
807705985,FINALIZE,248066,US,BACKEND,SUB-EVENT,Graph Optimizations
807705985,FINALIZE,3658,US,BACKEND,SUB-EVENT,Post Graph Optimization
807705985,FINALIZE,19763,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
807705985,FINALIZE,4500,US,BACKEND,SUB-EVENT,VTCM Allocation
807705985,FINALIZE,1988,US,BACKEND,SUB-EVENT,Parallelization Optimization
807705985,FINALIZE,2345,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
807705985,FINALIZE,82,US,BACKEND,SUB-EVENT,Completion
807949371,DE-INIT,48340,US,NETRUN,ROOT,null
807949371,DE-INIT,10901,US,BACKEND,ROOT,RPC (deinit) time
807949371,DE-INIT,8359,US,BACKEND,ROOT,QNN Accelerator (deinit) time
807949371,DE-INIT,8204,US,BACKEND,ROOT,Accelerator (deinit) time
807949371,DE-INIT,48326,US,BACKEND,ROOT,QNN (deinit) time
807728825,EXECUTE,22061,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
807728825,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
807728825,EXECUTE,21642,US,BACKEND,ROOT,RPC (execute) time
807728825,EXECUTE,19913,US,BACKEND,ROOT,QNN accelerator (execute) time
807728825,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
807728825,EXECUTE,735,US,BACKEND,ROOT,Time for initial VTCM acquire
807728825,EXECUTE,34690,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
807728825,EXECUTE,1972082,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
807728825,EXECUTE,4601,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
807728825,EXECUTE,63137,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_22 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
807728825,EXECUTE,31555,CYCLES,BACKEND,SUB-EVENT,OpId_28 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_reshape:OpId_30 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_cast_fp16:OpId_31 (cycles)
807728825,EXECUTE,791529,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_32 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_custom_output_reshape:OpId_33 (cycles)
807728825,EXECUTE,69037,CYCLES,BACKEND,SUB-EVENT,_MatMul_bias_add:OpId_34 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_36 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_39 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_41 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_44 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_46 (cycles)
807728825,EXECUTE,22654,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_48 (cycles)
807728825,EXECUTE,6350,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_50 (cycles)
807728825,EXECUTE,7001,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_52 (cycles)
807728825,EXECUTE,22687,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_54 (cycles)
807728825,EXECUTE,7770,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_60 (cycles)
807728825,EXECUTE,5130,CYCLES,BACKEND,SUB-EVENT,_Mul_2:OpId_66 (cycles)
807728825,EXECUTE,4887,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_69 (cycles)
807728825,EXECUTE,891,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_71 (cycles)
807728825,EXECUTE,5213,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_73 (cycles)
807728825,EXECUTE,4438,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_75 (cycles)
807728825,EXECUTE,890,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_77 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze:OpId_79 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_1:OpId_80 (cycles)
807728825,EXECUTE,3733,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_81 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_83 (cycles)
807728825,EXECUTE,20614,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_85 (cycles)
807728825,EXECUTE,4749,CYCLES,BACKEND,SUB-EVENT,_Slice_4:OpId_91 (cycles)
807728825,EXECUTE,3649,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_96 (cycles)
807728825,EXECUTE,1854,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_98 (cycles)
807728825,EXECUTE,806,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_100 (cycles)
807728825,EXECUTE,3569,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_102 (cycles)
807728825,EXECUTE,1831,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_104 (cycles)
807728825,EXECUTE,845,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_106 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_2:OpId_108 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_3:OpId_109 (cycles)
807728825,EXECUTE,2650,CYCLES,BACKEND,SUB-EVENT,_Concat_2:OpId_110 (cycles)
807728825,EXECUTE,1940,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_112 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_4:OpId_113 (cycles)
807728825,EXECUTE,2251,CYCLES,BACKEND,SUB-EVENT,_Tile:OpId_115 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_5:OpId_116 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_5:OpId_117 (cycles)
807728825,EXECUTE,2676,CYCLES,BACKEND,SUB-EVENT,_Tile_1:OpId_119 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_6:OpId_120 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Transpose_3:OpId_122 (cycles)
807728825,EXECUTE,67000,CYCLES,BACKEND,SUB-EVENT,_MatMul_3:OpId_123 (cycles)
807728825,EXECUTE,9987,CYCLES,BACKEND,SUB-EVENT,_Div_1:OpId_128 (cycles)
807728825,EXECUTE,3043,CYCLES,BACKEND,SUB-EVENT,_Add_6:OpId_131 (cycles)
807728825,EXECUTE,46849,CYCLES,BACKEND,SUB-EVENT,_Softmax:OpId_133 (cycles)
807728825,EXECUTE,12279,CYCLES,BACKEND,SUB-EVENT,_MatMul_4:OpId_136 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Transpose_4:OpId_141 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_7:OpId_142 (cycles)
807728825,EXECUTE,9617,CYCLES,BACKEND,SUB-EVENT,_MatMul_5:OpId_144 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_post_reshape:OpId_147 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_output_0_nfc:OpId_149 (cycles)
807728825,EXECUTE,2664,CYCLES,BACKEND,SUB-EVENT,_Add_7:OpId_151 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Add_7_output_0_ncf:OpId_154 (cycles)
807728825,EXECUTE,12163,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_11_output_0:OpId_159 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_7_pre_reshape:OpId_162 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6_pre_reshape:OpId_163 (cycles)
807728825,EXECUTE,150935,CYCLES,BACKEND,SUB-EVENT,_MatMul_6:OpId_165 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6_post_reshape:OpId_168 (cycles)
807728825,EXECUTE,111549,CYCLES,BACKEND,SUB-EVENT,_MatMul_7:OpId_170 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_7_post_reshape:OpId_173 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Sigmoid:OpId_174 (cycles)
807728825,EXECUTE,176335,CYCLES,BACKEND,SUB-EVENT,_Mul_12:OpId_181 (cycles)
807728825,EXECUTE,77851,CYCLES,BACKEND,SUB-EVENT,_Mul_13:OpId_183 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_8_pre_reshape:OpId_185 (cycles)
807728825,EXECUTE,141677,CYCLES,BACKEND,SUB-EVENT,_MatMul_8:OpId_187 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_8_post_reshape:OpId_190 (cycles)
807728825,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_8_output_0_nfc:OpId_192 (cycles)
807728825,EXECUTE,7116,CYCLES,BACKEND,SUB-EVENT,_Add_9:OpId_194 (cycles)
807728825,EXECUTE,35702,CYCLES,BACKEND,SUB-EVENT,hidden_out_ncf:OpId_197 (cycles)
807728825,EXECUTE,8378,CYCLES,BACKEND,SUB-EVENT,Output OpId_3 (cycles)
807728825,EXECUTE,4222,US,BACKEND,ROOT,Accelerator (execute) time
807728825,EXECUTE,2306,US,BACKEND,ROOT,Accelerator (execute excluding wait) time
807728825,EXECUTE,22037,US,BACKEND,ROOT,QNN (execute) time
807745478,EXECUTE,10786,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
807745478,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
807745478,EXECUTE,10274,US,BACKEND,ROOT,RPC (execute) time
807745478,EXECUTE,7865,US,BACKEND,ROOT,QNN accelerator (execute) time
807745478,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
807745478,EXECUTE,664,US,BACKEND,ROOT,Time for initial VTCM acquire
807745478,EXECUTE,286,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
807745478,EXECUTE,2082564,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
807745478,EXECUTE,2275,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
807745478,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
807745478,EXECUTE,118058,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_1_output_0:OpId_22 (cycles)
807745478,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
807745478,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
807745478,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
807745478,EXECUTE,1450,CYCLES,BACKEND,SUB-EVENT,OpId_28 (cycles)
