input log file location, qwen_block_custom_qnn/device_output/q_proj_offline_q13_layer0_prefill_seq16/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
19116091,INIT,3607208,US,NETRUN,ROOT,null
19812535,COMPOSE GRAPHS,696676,US,NETRUN,ROOT,null
22717076,FINALIZE,2902008,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
22717076,FINALIZE,9038,US,BACKEND,ROOT,RPC (finalize) time
22717076,FINALIZE,5851,US,BACKEND,ROOT,QNN accelerator (finalize) time
22717076,FINALIZE,5488,US,BACKEND,ROOT,Accelerator (finalize) time
22717076,FINALIZE,2901910,US,BACKEND,ROOT,QNN (finalize) time
22717076,FINALIZE,148,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
22717076,FINALIZE,2347575,US,BACKEND,SUB-EVENT,Graph Optimizations
22717076,FINALIZE,49935,US,BACKEND,SUB-EVENT,Post Graph Optimization
22717076,FINALIZE,124214,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
22717076,FINALIZE,19726,US,BACKEND,SUB-EVENT,VTCM Allocation
22717076,FINALIZE,9414,US,BACKEND,SUB-EVENT,Parallelization Optimization
22717076,FINALIZE,45188,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
22717076,FINALIZE,584,US,BACKEND,SUB-EVENT,Completion
23004177,DE-INIT,53767,US,NETRUN,ROOT,null
23004177,DE-INIT,9870,US,BACKEND,ROOT,RPC (deinit) time
23004177,DE-INIT,8999,US,BACKEND,ROOT,QNN Accelerator (deinit) time
23004177,DE-INIT,8738,US,BACKEND,ROOT,Accelerator (deinit) time
23004177,DE-INIT,53672,US,BACKEND,ROOT,QNN (deinit) time
22747418,EXECUTE,27802,US,NETRUN,ROOT,Graph 0: qwen2_0_5b_layer0_prefill_seq16
22747418,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
22747418,EXECUTE,26977,US,BACKEND,ROOT,RPC (execute) time
22747418,EXECUTE,25883,US,BACKEND,ROOT,QNN accelerator (execute) time
22747418,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
22747418,EXECUTE,2650,US,BACKEND,ROOT,Time for initial VTCM acquire
22747418,EXECUTE,45711,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
22747418,EXECUTE,1974641,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
22747418,EXECUTE,4193,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
22747418,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
