input log file location, /tmp/tiny_decode_10.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
994364160146,INIT,243917,US,NETRUN,ROOT,null
994364350335,COMPOSE GRAPHS,188552,US,NETRUN,ROOT,null
994364405789,FINALIZE,55243,US,NETRUN,ROOT,Graph 0: tiny_block_decode
994364405789,FINALIZE,4591,US,BACKEND,ROOT,RPC (finalize) time
994364405789,FINALIZE,3030,US,BACKEND,ROOT,QNN accelerator (finalize) time
994364405789,FINALIZE,2872,US,BACKEND,ROOT,Accelerator (finalize) time
994364405789,FINALIZE,55217,US,BACKEND,ROOT,QNN (finalize) time
994364405789,FINALIZE,175,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
994364405789,FINALIZE,34806,US,BACKEND,SUB-EVENT,Graph Optimizations
994364405789,FINALIZE,799,US,BACKEND,SUB-EVENT,Post Graph Optimization
994364405789,FINALIZE,3744,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
994364405789,FINALIZE,314,US,BACKEND,SUB-EVENT,VTCM Allocation
994364405789,FINALIZE,93,US,BACKEND,SUB-EVENT,Parallelization Optimization
994364405789,FINALIZE,288,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
994364405789,FINALIZE,14,US,BACKEND,SUB-EVENT,Completion
994364482500,DE-INIT,24524,US,NETRUN,ROOT,null
994364482500,DE-INIT,5588,US,BACKEND,ROOT,RPC (deinit) time
994364482500,DE-INIT,4454,US,BACKEND,ROOT,QNN Accelerator (deinit) time
994364482500,DE-INIT,4328,US,BACKEND,ROOT,Accelerator (deinit) time
994364482500,DE-INIT,24500,US,BACKEND,ROOT,QNN (deinit) time
994364414480,EXECUTE,7499,US,NETRUN,ROOT,Graph 0: tiny_block_decode
994364414480,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
994364414480,EXECUTE,7096,US,BACKEND,ROOT,RPC (execute) time
994364414480,EXECUTE,5642,US,BACKEND,ROOT,QNN accelerator (execute) time
994364414480,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
994364414480,EXECUTE,838,US,BACKEND,ROOT,Time for initial VTCM acquire
994364414480,EXECUTE,42327,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
994364414480,EXECUTE,311705,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
994364414480,EXECUTE,17552,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
994364414480,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
994364414480,EXECUTE,25274,CYCLES,BACKEND,SUB-EVENT,past_key_nhwc:OpId_20 (cycles)
994364414480,EXECUTE,33581,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_2_output_0:OpId_24 (cycles)
994364414480,EXECUTE,1061,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_29 (cycles)
994364414480,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_31 (cycles)
994364414480,EXECUTE,6936,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_33 (cycles)
994364414480,EXECUTE,920,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_36 (cycles)
994364414480,EXECUTE,17439,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_38 (cycles)
994364414480,EXECUTE,2016,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_40 (cycles)
994364414480,EXECUTE,6174,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_43 (cycles)
994364414480,EXECUTE,18611,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_45 (cycles)
994364414480,EXECUTE,1921,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_47 (cycles)
994364414480,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_49 (cycles)
994364414480,EXECUTE,1382,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_55 (cycles)
994364414480,EXECUTE,6987,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_61 (cycles)
994364414480,EXECUTE,2426,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_64 (cycles)
994364414480,EXECUTE,853,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_66 (cycles)
994364414480,EXECUTE,712,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_68 (cycles)
994364414480,EXECUTE,5639,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_70 (cycles)
994364414480,EXECUTE,2150,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_72 (cycles)
994364414480,EXECUTE,3913,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_74 (cycles)
994364414480,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Slice_2:OpId_77 (cycles)
