input log file location, tiny_llm_block/device_output/prefill/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
994363482822,INIT,224589,US,NETRUN,ROOT,null
994363642478,COMPOSE GRAPHS,158577,US,NETRUN,ROOT,null
994363708632,FINALIZE,65960,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
994363708632,FINALIZE,4858,US,BACKEND,ROOT,RPC (finalize) time
994363708632,FINALIZE,2983,US,BACKEND,ROOT,QNN accelerator (finalize) time
994363708632,FINALIZE,2825,US,BACKEND,ROOT,Accelerator (finalize) time
994363708632,FINALIZE,65932,US,BACKEND,ROOT,QNN (finalize) time
994363708632,FINALIZE,185,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
994363708632,FINALIZE,40652,US,BACKEND,SUB-EVENT,Graph Optimizations
994363708632,FINALIZE,1191,US,BACKEND,SUB-EVENT,Post Graph Optimization
994363708632,FINALIZE,5250,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
994363708632,FINALIZE,578,US,BACKEND,SUB-EVENT,VTCM Allocation
994363708632,FINALIZE,131,US,BACKEND,SUB-EVENT,Parallelization Optimization
994363708632,FINALIZE,441,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
994363708632,FINALIZE,20,US,BACKEND,SUB-EVENT,Completion
994363798427,DE-INIT,31695,US,NETRUN,ROOT,null
994363798427,DE-INIT,5857,US,BACKEND,ROOT,RPC (deinit) time
994363798427,DE-INIT,4784,US,BACKEND,ROOT,QNN Accelerator (deinit) time
994363798427,DE-INIT,4668,US,BACKEND,ROOT,Accelerator (deinit) time
994363798427,DE-INIT,31657,US,BACKEND,ROOT,QNN (deinit) time
994363718169,EXECUTE,8540,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
994363718169,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
994363718169,EXECUTE,8169,US,BACKEND,ROOT,RPC (execute) time
994363718169,EXECUTE,6319,US,BACKEND,ROOT,QNN accelerator (execute) time
994363718169,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
994363718169,EXECUTE,722,US,BACKEND,ROOT,Time for initial VTCM acquire
994363718169,EXECUTE,38444,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
994363718169,EXECUTE,599195,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
994363718169,EXECUTE,5385,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
994363718169,EXECUTE,26408,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_2_output_0:OpId_22 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_30 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_32 (cycles)
994363718169,EXECUTE,10611,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_34 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_37 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_39 (cycles)
994363718169,EXECUTE,13416,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_41 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_44 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_46 (cycles)
994363718169,EXECUTE,16971,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_48 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_50 (cycles)
994363718169,EXECUTE,689,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_56 (cycles)
994363718169,EXECUTE,8361,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_62 (cycles)
994363718169,EXECUTE,6994,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_65 (cycles)
994363718169,EXECUTE,834,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_67 (cycles)
994363718169,EXECUTE,6560,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_69 (cycles)
994363718169,EXECUTE,7642,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_71 (cycles)
994363718169,EXECUTE,647,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_73 (cycles)
994363718169,EXECUTE,1758,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_75 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Slice_2:OpId_78 (cycles)
994363718169,EXECUTE,1990,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_84 (cycles)
994363718169,EXECUTE,10871,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_89 (cycles)
994363718169,EXECUTE,7419,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_91 (cycles)
994363718169,EXECUTE,1691,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_93 (cycles)
994363718169,EXECUTE,7353,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_95 (cycles)
994363718169,EXECUTE,10870,CYCLES,BACKEND,SUB-EVENT,_Mul_10:OpId_97 (cycles)
994363718169,EXECUTE,1303,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_99 (cycles)
994363718169,EXECUTE,6759,CYCLES,BACKEND,SUB-EVENT,_Concat_1:OpId_101 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_4:OpId_103 (cycles)
994363718169,EXECUTE,1880,CYCLES,BACKEND,SUB-EVENT,_Tile:OpId_105 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_106 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_5:OpId_107 (cycles)
994363718169,EXECUTE,2653,CYCLES,BACKEND,SUB-EVENT,_Tile_1:OpId_109 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_4:OpId_110 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Transpose_3:OpId_112 (cycles)
994363718169,EXECUTE,179542,CYCLES,BACKEND,SUB-EVENT,_MatMul_3:OpId_113 (cycles)
994363718169,EXECUTE,30495,CYCLES,BACKEND,SUB-EVENT,_Mul_11:OpId_118 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_7_output_0_cast_to_bool:OpId_121 (cycles)
994363718169,EXECUTE,19951,CYCLES,BACKEND,SUB-EVENT,_Where:OpId_123 (cycles)
994363718169,EXECUTE,22953,CYCLES,BACKEND,SUB-EVENT,_Softmax:OpId_124 (cycles)
994363718169,EXECUTE,19022,CYCLES,BACKEND,SUB-EVENT,_MatMul_4:OpId_127 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Transpose_4:OpId_132 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_5:OpId_133 (cycles)
994363718169,EXECUTE,1124,CYCLES,BACKEND,SUB-EVENT,_MatMul_5:OpId_135 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_post_reshape:OpId_138 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_5_output_0_nfc:OpId_140 (cycles)
994363718169,EXECUTE,1090,CYCLES,BACKEND,SUB-EVENT,_Add_6:OpId_142 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Add_6_output_0_ncf:OpId_145 (cycles)
994363718169,EXECUTE,5665,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_14_output_0:OpId_150 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_7_pre_reshape:OpId_153 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6_pre_reshape:OpId_154 (cycles)
994363718169,EXECUTE,2559,CYCLES,BACKEND,SUB-EVENT,_MatMul_6:OpId_156 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_6_post_reshape:OpId_159 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Sigmoid:OpId_160 (cycles)
994363718169,EXECUTE,59877,CYCLES,BACKEND,SUB-EVENT,_Mul_15:OpId_167 (cycles)
994363718169,EXECUTE,2697,CYCLES,BACKEND,SUB-EVENT,_MatMul_7:OpId_170 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_7_post_reshape:OpId_173 (cycles)
994363718169,EXECUTE,52310,CYCLES,BACKEND,SUB-EVENT,_Mul_16:OpId_174 (cycles)
994363718169,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_8_pre_reshape:OpId_176 (cycles)
