input log file location, tiny_llm_block_custom_matmul/device_output/prefill_gate_proj_lhs_prepack/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
301369540539,INIT,164107,US,NETRUN,ROOT,null
301369621286,COMPOSE GRAPHS,79837,US,NETRUN,ROOT,null
301369702846,FINALIZE,80606,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
301369702846,FINALIZE,6604,US,BACKEND,ROOT,RPC (finalize) time
301369702846,FINALIZE,5026,US,BACKEND,ROOT,QNN accelerator (finalize) time
301369702846,FINALIZE,4885,US,BACKEND,ROOT,Accelerator (finalize) time
301369702846,FINALIZE,80573,US,BACKEND,ROOT,QNN (finalize) time
301369702846,FINALIZE,240,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
301369702846,FINALIZE,50280,US,BACKEND,SUB-EVENT,Graph Optimizations
301369702846,FINALIZE,1324,US,BACKEND,SUB-EVENT,Post Graph Optimization
301369702846,FINALIZE,6170,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
301369702846,FINALIZE,702,US,BACKEND,SUB-EVENT,VTCM Allocation
301369702846,FINALIZE,154,US,BACKEND,SUB-EVENT,Parallelization Optimization
301369702846,FINALIZE,542,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
301369702846,FINALIZE,27,US,BACKEND,SUB-EVENT,Completion
301369969838,DE-INIT,31997,US,NETRUN,ROOT,null
301369969838,DE-INIT,6505,US,BACKEND,ROOT,RPC (deinit) time
301369969838,DE-INIT,5235,US,BACKEND,ROOT,QNN Accelerator (deinit) time
301369969838,DE-INIT,5093,US,BACKEND,ROOT,Accelerator (deinit) time
301369969838,DE-INIT,31954,US,BACKEND,ROOT,QNN (deinit) time
301369727753,EXECUTE,23571,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
301369727753,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
301369727753,EXECUTE,23094,US,BACKEND,ROOT,RPC (execute) time
301369727753,EXECUTE,18990,US,BACKEND,ROOT,QNN accelerator (execute) time
301369727753,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
301369727753,EXECUTE,2768,US,BACKEND,ROOT,Time for initial VTCM acquire
301369727753,EXECUTE,44440,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
301369727753,EXECUTE,4661211,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
301369727753,EXECUTE,5307,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
301369727753,EXECUTE,26426,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_2_output_0:OpId_22 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_30 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_32 (cycles)
301369727753,EXECUTE,9740,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_34 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_37 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_39 (cycles)
301369727753,EXECUTE,11057,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_41 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_44 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_46 (cycles)
301369727753,EXECUTE,15617,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_48 (cycles)
301369727753,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_50 (cycles)
301369727753,EXECUTE,652,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_56 (cycles)
301369727753,EXECUTE,7325,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_62 (cycles)
301369727753,EXECUTE,6733,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_65 (cycles)
301369727753,EXECUTE,828,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_67 (cycles)
301369727753,EXECUTE,5763,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_69 (cycles)
