input log file location, tiny_llm_block_custom_matmul/device_output/prefill_gate_proj_lhs_prepack_multithread/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
301502210892,INIT,166324,US,NETRUN,ROOT,null
301502293898,COMPOSE GRAPHS,82048,US,NETRUN,ROOT,null
301502375446,FINALIZE,80553,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
301502375446,FINALIZE,6317,US,BACKEND,ROOT,RPC (finalize) time
301502375446,FINALIZE,4999,US,BACKEND,ROOT,QNN accelerator (finalize) time
301502375446,FINALIZE,4878,US,BACKEND,ROOT,Accelerator (finalize) time
301502375446,FINALIZE,80515,US,BACKEND,ROOT,QNN (finalize) time
301502375446,FINALIZE,252,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
301502375446,FINALIZE,50489,US,BACKEND,SUB-EVENT,Graph Optimizations
301502375446,FINALIZE,1380,US,BACKEND,SUB-EVENT,Post Graph Optimization
301502375446,FINALIZE,6233,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
301502375446,FINALIZE,674,US,BACKEND,SUB-EVENT,VTCM Allocation
301502375446,FINALIZE,160,US,BACKEND,SUB-EVENT,Parallelization Optimization
301502375446,FINALIZE,548,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
301502375446,FINALIZE,27,US,BACKEND,SUB-EVENT,Completion
301502571050,DE-INIT,30074,US,NETRUN,ROOT,null
301502571050,DE-INIT,6449,US,BACKEND,ROOT,RPC (deinit) time
301502571050,DE-INIT,5194,US,BACKEND,ROOT,QNN Accelerator (deinit) time
301502571050,DE-INIT,5047,US,BACKEND,ROOT,Accelerator (deinit) time
301502571050,DE-INIT,30029,US,BACKEND,ROOT,QNN (deinit) time
301502391774,EXECUTE,15654,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
301502391774,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
301502391774,EXECUTE,15229,US,BACKEND,ROOT,RPC (execute) time
301502391774,EXECUTE,13067,US,BACKEND,ROOT,QNN accelerator (execute) time
301502391774,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
301502391774,EXECUTE,2878,US,BACKEND,ROOT,Time for initial VTCM acquire
