input log file location, tiny_llm_block_custom_matmul/device_output/prefill_q_proj_both_prepack/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
301025646414,INIT,166978,US,NETRUN,ROOT,null
301025731600,COMPOSE GRAPHS,84106,US,NETRUN,ROOT,null
301025811818,FINALIZE,79235,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
301025811818,FINALIZE,6087,US,BACKEND,ROOT,RPC (finalize) time
301025811818,FINALIZE,4722,US,BACKEND,ROOT,QNN accelerator (finalize) time
301025811818,FINALIZE,4587,US,BACKEND,ROOT,Accelerator (finalize) time
301025811818,FINALIZE,79197,US,BACKEND,ROOT,QNN (finalize) time
301025811818,FINALIZE,271,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
301025811818,FINALIZE,50097,US,BACKEND,SUB-EVENT,Graph Optimizations
301025811818,FINALIZE,1367,US,BACKEND,SUB-EVENT,Post Graph Optimization
301025811818,FINALIZE,5673,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
301025811818,FINALIZE,598,US,BACKEND,SUB-EVENT,VTCM Allocation
301025811818,FINALIZE,147,US,BACKEND,SUB-EVENT,Parallelization Optimization
301025811818,FINALIZE,495,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
301025811818,FINALIZE,26,US,BACKEND,SUB-EVENT,Completion
301025999616,DE-INIT,29437,US,NETRUN,ROOT,null
301025999616,DE-INIT,6407,US,BACKEND,ROOT,RPC (deinit) time
301025999616,DE-INIT,5160,US,BACKEND,ROOT,QNN Accelerator (deinit) time
301025999616,DE-INIT,5016,US,BACKEND,ROOT,Accelerator (deinit) time
301025999616,DE-INIT,29392,US,BACKEND,ROOT,QNN (deinit) time
301025825229,EXECUTE,13178,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
301025825229,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
