input log file location, tiny_llm_block_custom_matmul/device_output/prefill_q_proj_custom/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
299303646338,INIT,210134,US,NETRUN,ROOT,null
299303748477,COMPOSE GRAPHS,101199,US,NETRUN,ROOT,null
299303850722,FINALIZE,102035,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
299303850722,FINALIZE,5249,US,BACKEND,ROOT,RPC (finalize) time
299303850722,FINALIZE,4875,US,BACKEND,ROOT,QNN accelerator (finalize) time
299303850722,FINALIZE,4742,US,BACKEND,ROOT,Accelerator (finalize) time
299303850722,FINALIZE,101991,US,BACKEND,ROOT,QNN (finalize) time
299303850722,FINALIZE,264,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
299303850722,FINALIZE,61582,US,BACKEND,SUB-EVENT,Graph Optimizations
299303850722,FINALIZE,1881,US,BACKEND,SUB-EVENT,Post Graph Optimization
299303850722,FINALIZE,13065,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
299303850722,FINALIZE,896,US,BACKEND,SUB-EVENT,VTCM Allocation
299303850722,FINALIZE,212,US,BACKEND,SUB-EVENT,Parallelization Optimization
299303850722,FINALIZE,746,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
299303850722,FINALIZE,31,US,BACKEND,SUB-EVENT,Completion
299304011342,DE-INIT,29343,US,NETRUN,ROOT,null
299304011342,DE-INIT,6359,US,BACKEND,ROOT,RPC (deinit) time
299304011342,DE-INIT,5127,US,BACKEND,ROOT,QNN Accelerator (deinit) time
299304011342,DE-INIT,4980,US,BACKEND,ROOT,Accelerator (deinit) time
299304011342,DE-INIT,29297,US,BACKEND,ROOT,QNN (deinit) time
299303863507,EXECUTE,10852,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
299303863507,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
299303863507,EXECUTE,10548,US,BACKEND,ROOT,RPC (execute) time
299303863507,EXECUTE,9656,US,BACKEND,ROOT,QNN accelerator (execute) time
299303863507,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
299303863507,EXECUTE,2765,US,BACKEND,ROOT,Time for initial VTCM acquire
299303863507,EXECUTE,38974,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
299303863507,EXECUTE,3942444,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
299303863507,EXECUTE,3833,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
299303863507,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
299303863507,EXECUTE,19620,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_2_output_0:OpId_22 (cycles)
299303863507,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
299303863507,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
299303863507,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
299303863507,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_reshape:OpId_30 (cycles)
