input log file location, tiny_llm_block_custom_matmul/device_output/prefill_q_proj_lhs_prepack/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
299876939890,INIT,162380,US,NETRUN,ROOT,null
299877006054,COMPOSE GRAPHS,64553,US,NETRUN,ROOT,null
299877098277,FINALIZE,91951,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
299877098277,FINALIZE,6637,US,BACKEND,ROOT,RPC (finalize) time
299877098277,FINALIZE,4877,US,BACKEND,ROOT,QNN accelerator (finalize) time
299877098277,FINALIZE,4743,US,BACKEND,ROOT,Accelerator (finalize) time
299877098277,FINALIZE,91921,US,BACKEND,ROOT,QNN (finalize) time
299877098277,FINALIZE,208,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
299877098277,FINALIZE,59364,US,BACKEND,SUB-EVENT,Graph Optimizations
299877098277,FINALIZE,1567,US,BACKEND,SUB-EVENT,Post Graph Optimization
299877098277,FINALIZE,6711,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
299877098277,FINALIZE,730,US,BACKEND,SUB-EVENT,VTCM Allocation
299877098277,FINALIZE,178,US,BACKEND,SUB-EVENT,Parallelization Optimization
299877098277,FINALIZE,674,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
299877098277,FINALIZE,31,US,BACKEND,SUB-EVENT,Completion
299877289703,DE-INIT,30965,US,NETRUN,ROOT,null
299877289703,DE-INIT,6389,US,BACKEND,ROOT,RPC (deinit) time
299877289703,DE-INIT,5142,US,BACKEND,ROOT,QNN Accelerator (deinit) time
299877289703,DE-INIT,4999,US,BACKEND,ROOT,Accelerator (deinit) time
299877289703,DE-INIT,30921,US,BACKEND,ROOT,QNN (deinit) time
299877113145,EXECUTE,14171,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
299877113145,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
