input log file location, tiny_llm_block_custom_matmul/device_output/prefill_q_proj_lhs_prepack_multithread/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
300667838507,INIT,186890,US,NETRUN,ROOT,null
300667935145,COMPOSE GRAPHS,95454,US,NETRUN,ROOT,null
300668021716,FINALIZE,85577,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
300668021716,FINALIZE,6229,US,BACKEND,ROOT,RPC (finalize) time
300668021716,FINALIZE,4451,US,BACKEND,ROOT,QNN accelerator (finalize) time
300668021716,FINALIZE,4321,US,BACKEND,ROOT,Accelerator (finalize) time
300668021716,FINALIZE,85540,US,BACKEND,ROOT,QNN (finalize) time
300668021716,FINALIZE,337,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
300668021716,FINALIZE,55211,US,BACKEND,SUB-EVENT,Graph Optimizations
300668021716,FINALIZE,1400,US,BACKEND,SUB-EVENT,Post Graph Optimization
300668021716,FINALIZE,5959,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
300668021716,FINALIZE,634,US,BACKEND,SUB-EVENT,VTCM Allocation
300668021716,FINALIZE,160,US,BACKEND,SUB-EVENT,Parallelization Optimization
300668021716,FINALIZE,561,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
300668021716,FINALIZE,27,US,BACKEND,SUB-EVENT,Completion
300668178075,DE-INIT,29990,US,NETRUN,ROOT,null
300668178075,DE-INIT,6198,US,BACKEND,ROOT,RPC (deinit) time
300668178075,DE-INIT,5026,US,BACKEND,ROOT,QNN Accelerator (deinit) time
300668178075,DE-INIT,4873,US,BACKEND,ROOT,Accelerator (deinit) time
300668178075,DE-INIT,29948,US,BACKEND,ROOT,QNN (deinit) time
300668034927,EXECUTE,12535,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
300668034927,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
300668034927,EXECUTE,12081,US,BACKEND,ROOT,RPC (execute) time
300668034927,EXECUTE,9972,US,BACKEND,ROOT,QNN accelerator (execute) time
300668034927,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
300668034927,EXECUTE,2915,US,BACKEND,ROOT,Time for initial VTCM acquire
300668034927,EXECUTE,44627,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
300668034927,EXECUTE,3259191,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
300668034927,EXECUTE,8568,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
300668034927,EXECUTE,28839,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_2_output_0:OpId_22 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_reshape:OpId_30 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_cast_fp16:OpId_31 (cycles)
300668034927,EXECUTE,8873,CYCLES,BACKEND,SUB-EVENT,_MatMul_pack_lhs_q13:OpId_32 (cycles)
300668034927,EXECUTE,288,CYCLES,BACKEND,SUB-EVENT,_MatMul_rhs_cast_fp16:OpId_33 (cycles)
300668034927,EXECUTE,2725883,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_34 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_output_reshape:OpId_35 (cycles)
300668034927,EXECUTE,2049,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_36 (cycles)
300668034927,EXECUTE,3406,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_38 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_41 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_43 (cycles)
300668034927,EXECUTE,7483,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_45 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_48 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_50 (cycles)
300668034927,EXECUTE,13354,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_52 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_54 (cycles)
300668034927,EXECUTE,611,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_60 (cycles)
300668034927,EXECUTE,6922,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_66 (cycles)
300668034927,EXECUTE,5286,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_69 (cycles)
300668034927,EXECUTE,837,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_71 (cycles)
300668034927,EXECUTE,4467,CYCLES,BACKEND,SUB-EVENT,_Mul_5:OpId_73 (cycles)
300668034927,EXECUTE,7030,CYCLES,BACKEND,SUB-EVENT,_Mul_6:OpId_75 (cycles)
300668034927,EXECUTE,713,CYCLES,BACKEND,SUB-EVENT,_Add_4:OpId_77 (cycles)
300668034927,EXECUTE,1344,CYCLES,BACKEND,SUB-EVENT,_Concat:OpId_79 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Slice_2:OpId_82 (cycles)
300668034927,EXECUTE,1869,CYCLES,BACKEND,SUB-EVENT,_Slice_3:OpId_88 (cycles)
300668034927,EXECUTE,10260,CYCLES,BACKEND,SUB-EVENT,_Mul_7:OpId_93 (cycles)
300668034927,EXECUTE,8362,CYCLES,BACKEND,SUB-EVENT,_Mul_8:OpId_95 (cycles)
300668034927,EXECUTE,1603,CYCLES,BACKEND,SUB-EVENT,_Sub_1:OpId_97 (cycles)
300668034927,EXECUTE,8281,CYCLES,BACKEND,SUB-EVENT,_Mul_9:OpId_99 (cycles)
300668034927,EXECUTE,10265,CYCLES,BACKEND,SUB-EVENT,_Mul_10:OpId_101 (cycles)
300668034927,EXECUTE,2087,CYCLES,BACKEND,SUB-EVENT,_Add_5:OpId_103 (cycles)
300668034927,EXECUTE,7121,CYCLES,BACKEND,SUB-EVENT,_Concat_1:OpId_105 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_4:OpId_107 (cycles)
300668034927,EXECUTE,2028,CYCLES,BACKEND,SUB-EVENT,_Tile:OpId_109 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Reshape_3:OpId_110 (cycles)
300668034927,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Unsqueeze_5:OpId_111 (cycles)
