input log file location, tiny_llm_block_custom_matmul/device_output/prefill_q_proj_lhs_tile_cache/qnn-profiling-data_0.log
qnn-profile-viewer version, v2.47.0.260601114230
qnn-net-run version, v2.47.0.260601114230
Backend version, v2.47.0.260601114230
Msg Timestamp, Message, Time, Unit of Measurement, Timing Source, Event Level, Event Identifier
355434044188,INIT,159943,US,NETRUN,ROOT,null
355434131509,COMPOSE GRAPHS,85552,US,NETRUN,ROOT,null
355434200816,FINALIZE,68840,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
355434200816,FINALIZE,5225,US,BACKEND,ROOT,RPC (finalize) time
355434200816,FINALIZE,3731,US,BACKEND,ROOT,QNN accelerator (finalize) time
355434200816,FINALIZE,3588,US,BACKEND,ROOT,Accelerator (finalize) time
355434200816,FINALIZE,68774,US,BACKEND,ROOT,QNN (finalize) time
355434200816,FINALIZE,200,US,BACKEND,SUB-EVENT,Graph Preparation Initializing
355434200816,FINALIZE,41434,US,BACKEND,SUB-EVENT,Graph Optimizations
355434200816,FINALIZE,1142,US,BACKEND,SUB-EVENT,Post Graph Optimization
355434200816,FINALIZE,5065,US,BACKEND,SUB-EVENT,Graph Sequencing for Target
355434200816,FINALIZE,542,US,BACKEND,SUB-EVENT,VTCM Allocation
355434200816,FINALIZE,129,US,BACKEND,SUB-EVENT,Parallelization Optimization
355434200816,FINALIZE,445,US,BACKEND,SUB-EVENT,Finalizing Graph Sequence
355434200816,FINALIZE,18,US,BACKEND,SUB-EVENT,Completion
355434341920,DE-INIT,28685,US,NETRUN,ROOT,null
355434341920,DE-INIT,6397,US,BACKEND,ROOT,RPC (deinit) time
355434341920,DE-INIT,5193,US,BACKEND,ROOT,QNN Accelerator (deinit) time
355434341920,DE-INIT,5051,US,BACKEND,ROOT,Accelerator (deinit) time
355434341920,DE-INIT,28637,US,BACKEND,ROOT,QNN (deinit) time
355434213738,EXECUTE,11130,US,NETRUN,ROOT,Graph 0: tiny_block_prefill
355434213738,EXECUTE,4,COUNT,BACKEND,ROOT,Number of HVX threads used
355434213738,EXECUTE,10669,US,BACKEND,ROOT,RPC (execute) time
355434213738,EXECUTE,8478,US,BACKEND,ROOT,QNN accelerator (execute) time
355434213738,EXECUTE,0,COUNT,BACKEND,ROOT,Num times yield occured
355434213738,EXECUTE,2921,US,BACKEND,ROOT,Time for initial VTCM acquire
355434213738,EXECUTE,44421,US,BACKEND,ROOT,Time for HVX + HMX power on and acquire
355434213738,EXECUTE,675524,CYCLES,BACKEND,ROOT,Accelerator (execute) time (cycles)
355434213738,EXECUTE,5393,CYCLES,BACKEND,SUB-EVENT,Input OpId_2 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,hidden_states_nfc:OpId_17 (cycles)
355434213738,EXECUTE,29782,CYCLES,BACKEND,SUB-EVENT,rms_norm__Mul_2_output_0:OpId_22 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_pre_reshape:OpId_25 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_pre_reshape:OpId_26 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_pre_reshape:OpId_27 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_reshape:OpId_30 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_lhs_cast_fp16:OpId_31 (cycles)
355434213738,EXECUTE,7660,CYCLES,BACKEND,SUB-EVENT,_MatMul_rhs_cast_fp16:OpId_32 (cycles)
355434213738,EXECUTE,144102,CYCLES,BACKEND,SUB-EVENT,_MatMul:OpId_33 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_output_reshape:OpId_34 (cycles)
355434213738,EXECUTE,2045,CYCLES,BACKEND,SUB-EVENT,_MatMul_post_reshape:OpId_35 (cycles)
355434213738,EXECUTE,4213,CYCLES,BACKEND,SUB-EVENT,_Transpose:OpId_37 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1:OpId_40 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_1_post_reshape:OpId_42 (cycles)
355434213738,EXECUTE,7298,CYCLES,BACKEND,SUB-EVENT,_Transpose_1:OpId_44 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2:OpId_47 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_MatMul_2_post_reshape:OpId_49 (cycles)
355434213738,EXECUTE,13323,CYCLES,BACKEND,SUB-EVENT,_Transpose_2:OpId_51 (cycles)
355434213738,EXECUTE,0,CYCLES,BACKEND,SUB-EVENT,_Slice:OpId_53 (cycles)
355434213738,EXECUTE,701,CYCLES,BACKEND,SUB-EVENT,_Slice_1:OpId_59 (cycles)
355434213738,EXECUTE,6870,CYCLES,BACKEND,SUB-EVENT,_Mul_3:OpId_65 (cycles)
355434213738,EXECUTE,4733,CYCLES,BACKEND,SUB-EVENT,_Mul_4:OpId_68 (cycles)
355434213738,EXECUTE,810,CYCLES,BACKEND,SUB-EVENT,_Sub:OpId_70 (cycles)
